t, ω_1, EK_1 
0, 114.96356725, 6608.310897422636 
0.01, 114.92715619955135, 6604.125616058037 
0.02, 114.89076682886017, 6599.944151261758 
0.03, 114.85439911815664, 6595.76649839641 
0.04, 114.81805304769495, 6591.592652831645 
0.05, 114.78172859775327, 6587.422609944146 
0.060000000000000005, 114.74542574863375, 6583.256365117611 
0.07, 114.70914448066245, 6579.093913742746 
0.08, 114.67288477418927, 6574.9352512172445 
0.09, 114.63664660958797, 6570.780372945778 
0.09999999999999999, 114.6004299672561, 6566.629274339985 
0.10999999999999999, 114.56423482761501, 6562.481950818458 
0.11999999999999998, 114.52806117110978, 6558.338397806732 
0.12999999999999998, 114.49190897820914, 6554.198610737263 
0.13999999999999999, 114.45577822940552, 6550.06258504943 
0.15, 114.41966890521496, 6545.930316189508 
0.16, 114.3835809861771, 6541.801799610667 
0.17, 114.34751445285511, 6537.677030772954 
0.18000000000000002, 114.3114692858357, 6533.556005143279 
0.19000000000000003, 114.27544546572906, 6529.438718195409 
0.20000000000000004, 114.2394429731688, 6525.325165409944 
0.21000000000000005, 114.20346178881196, 6521.215342274317 
0.22000000000000006, 114.16750189333898, 6517.109244282779 
0.23000000000000007, 114.13156326745359, 6513.00686693638 
0.24000000000000007, 114.09564589188284, 6508.9082057429605 
0.25000000000000006, 114.0597497473771, 6504.813256217145 
0.26000000000000006, 114.0238748147099, 6500.722013880317 
0.2700000000000001, 113.988021074678, 6496.634474260618 
0.2800000000000001, 113.95218850810133, 6492.5506328929305 
0.2900000000000001, 113.91637709582294, 6488.470485318867 
0.3000000000000001, 113.88058681870899, 6484.394027086758 
0.3100000000000001, 113.84481765764869, 6480.321253751639 
0.3200000000000001, 113.80906959355426, 6476.252160875238 
0.3300000000000001, 113.77334260736092, 6472.186744025964 
0.34000000000000014, 113.73763668002687, 6468.124998778897 
0.35000000000000014, 113.7019517925332, 6464.066920715772 
0.36000000000000015, 113.66628792588389, 6460.012505424969 
0.37000000000000016, 113.6306450611058, 6455.961748501503 
0.38000000000000017, 113.59502317924856, 6451.914645547008 
0.3900000000000002, 113.55942226138463, 6447.871192169729 
0.4000000000000002, 113.52384228860919, 6443.831383984506 
0.4100000000000002, 113.48828324204015, 6439.795216612766 
0.4200000000000002, 113.4527451028181, 6435.762685682508 
0.4300000000000002, 113.41722785210627, 6431.733786828295 
0.4400000000000002, 113.3817314710905, 6427.708515691237 
0.45000000000000023, 113.34625594097922, 6423.686867918984 
0.46000000000000024, 113.3108012430034, 6419.66883916571 
0.47000000000000025, 113.27536735841652, 6415.654425092107 
0.48000000000000026, 113.23995426849454, 6411.643621365368 
0.49000000000000027, 113.20456195453588, 6407.636423659176 
0.5000000000000002, 113.16919039786133, 6403.632827653694 
0.5100000000000002, 113.13383957981408, 6399.632829035553 
0.5200000000000002, 113.09850948175968, 6395.636423497842 
0.5300000000000002, 113.06320008508595, 6391.64360674009 
0.5400000000000003, 113.02791137120303, 6387.654374468264 
0.5500000000000003, 112.99264332154328, 6383.66872239475 
0.5600000000000003, 112.95739591756129, 6379.686646238346 
0.5700000000000003, 112.92216914073377, 6375.708141724243 
0.5800000000000003, 112.88696297255964, 6371.733204584026 
0.5900000000000003, 112.85177739455989, 6367.761830555649 
0.6000000000000003, 112.8166123882776, 6363.794015383436 
0.6100000000000003, 112.78146793527792, 6359.829754818061 
0.6200000000000003, 112.74634401714796, 6355.869044616538 
0.6300000000000003, 112.71124061549685, 6351.911880542213 
0.6400000000000003, 112.67615771195564, 6347.95825836475 
0.6500000000000004, 112.64109528817733, 6344.008173860122 
0.6600000000000004, 112.60605332583674, 6340.061622810594 
0.6700000000000004, 112.57103180663059, 6336.118601004718 
0.6800000000000004, 112.53603071227738, 6332.179104237319 
0.6900000000000004, 112.50105002451743, 6328.243128309487 
0.7000000000000004, 112.46608972511278, 6324.3106690285595 
0.7100000000000004, 112.43114979584723, 6320.38172220812 
0.7200000000000004, 112.3962302185262, 6316.456283667971 
0.7300000000000004, 112.3613309749768, 6312.53434923414 
0.7400000000000004, 112.32645204704777, 6308.615914738861 
0.7500000000000004, 112.29159341660942, 6304.700976020559 
0.7600000000000005, 112.25675506555363, 6300.78952892385 
0.7700000000000005, 112.22193697579381, 6296.881569299519 
0.7800000000000005, 112.18713912926485, 6292.977093004514 
0.7900000000000005, 112.15236150792309, 6289.076095901934 
0.8000000000000005, 112.11760409374634, 6285.178573861022 
0.8100000000000005, 112.08286686873372, 6281.284522757143 
0.8200000000000005, 112.04814981490584, 6277.393938471792 
0.8300000000000005, 112.01345291430455, 6273.506816892562 
0.8400000000000005, 111.97877614899305, 6269.623153913148 
0.8500000000000005, 111.9441195010558, 6265.7429454333305 
0.8600000000000005, 111.90948295259845, 6261.866187358962 
0.8700000000000006, 111.87486648574793, 6257.992875601963 
0.8800000000000006, 111.84027008265231, 6254.123006080306 
0.8900000000000006, 111.80569372548081, 6250.256574718009 
0.9000000000000006, 111.77113739642377, 6246.39357744512 
0.9100000000000006, 111.73660107769261, 6242.534010197709 
0.9200000000000006, 111.70208475151979, 6238.677868917855 
0.9300000000000006, 111.6675884001588, 6234.825149553641 
0.9400000000000006, 111.63311200588412, 6230.9758480591345 
0.9500000000000006, 111.59865555099117, 6227.129960394386 
0.9600000000000006, 111.5642190177963, 6223.287482525411 
0.9700000000000006, 111.52980238863682, 6219.44841042419 
0.9800000000000006, 111.49540564587082, 6215.612740068641 
0.9900000000000007, 111.46102877187727, 6211.780467442626 
1.0000000000000007, 111.42667174905591, 6207.951588535928 
