t, ω_1, phi_1 
1, -0.058572179544448176, 2.1028282282969166
1.001, -0.11715888705000087, 2.102711020595818
1.0019999999999998, -0.17576620120696185, 2.1025351762807616
1.0029999999999997, -0.23440016628286095, 2.1023006686885073
1.0039999999999996, -0.29306677969346356, 2.1020074651553924
1.0049999999999994, -0.3517719794732668, 2.1016555270767396
1.0059999999999993, -0.4105216316217682, 2.1012448099789265
1.0069999999999992, -0.469321517302526, 2.1007752636042616
1.0079999999999991, -0.5281773198729254, 2.1002468320088363
1.008999999999999, -0.5870946117236214, 2.099659453673547
1.009999999999999, -0.6460788409078636, 2.099013061628491
1.0109999999999988, -0.7051353175423095, 2.0983075835909686
1.0119999999999987, -0.7642691999625277, 2.097542942117341
1.0129999999999986, -0.8234854806181664, 2.096719054768993
1.0139999999999985, -0.8827889716947395, 2.095835834292688
1.0149999999999983, -0.9421842904511584, 2.094893188815588
1.0159999999999982, -1.0016758442645217, 2.0938910220552382
1.0169999999999981, -1.0612678153762756, 2.092829233544813
1.017999999999998, -1.120964145336677, 2.0917077188739235
1.018999999999998, -1.1807685191475317, 2.0905263699452936
1.0199999999999978, -1.2406843491064545, 2.089285075247597
1.0209999999999977, -1.3007147583593952, 2.0879837201447495
1.0219999999999976, -1.3608625641719032, 2.0866221871819417
1.0229999999999975, -1.4211302609335639, 2.085200356408672
1.0239999999999974, -1.481520002914219, 2.0837181057190333
1.0249999999999972, -1.5420335867949841, 2.0821753112094794
1.0259999999999971, -1.6026724340016834, 2.080571847554263
1.026999999999997, -1.6634375728731268, 2.078907588398717
1.027999999999997, -1.7243296207016399, 2.077182406770504
1.0289999999999968, -1.7853487656884002, 2.0753961755089185
1.0299999999999967, -1.8464947488614143, 2.07354876771228
1.0309999999999966, -1.9077668460093653, 2.071640057203404
1.0319999999999965, -1.969163849690018, 2.069669919013069
1.0329999999999964, -2.0306840513773774, 2.0676382298813496
1.0339999999999963, -2.0923252238172956, 2.0655448687766
1.0349999999999961, -2.1540846036666657, 2.063389717431809
1.035999999999996, -2.215958874496682, 2.061172660897959
1.036999999999996, -2.2779441502458337, 2.0588935881139414
1.0379999999999958, -2.340035959213245, 2.0565523924924847
1.0389999999999957, -2.402229228687641, 2.054148972521464
1.0399999999999956, -2.4645182703115265, 2.051683232379853
1.0409999999999955, -2.526896766284025, 2.049155082567479
