Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
2.60%,344,,,,,
2.61%,308,,,,,
2.62%,358,,,,,
2.63%,340,,,,,
2.64%,366,,,,,
2.65%,364,,,,,
2.66%,338,,,,,
2.67%,348,,,,,
2.68%,346,,,,,
2.69%,367,,,,,
2.70%,351,,,,,
2.71%,370,,,,,
2.72%,360,,,,,
2.73%,354,,,,,
2.74%,334,,,,,
2.75%,334,,,,,
2.76%,357,,,,,
2.77%,348,,,,,
2.78%,387,,,,,
2.79%,337,,,,,
2.80%,335,,,,,
2.81%,372,,,,,
2.82%,353,,,,,
2.83%,371,,,,,
2.84%,357,,,,,
2.85%,349,,,,,
2.86%,377,,,,,
2.87%,348,,,,,
2.88%,352,,,,,
2.89%,346,,,,,
2.90%,363,,,,,
2.91%,358,,,,,
2.92%,398,,,,,
2.93%,326,,,,,
2.94%,323,,,,,
2.95%,354,,,,,
2.96%,326,,,,,
2.97%,346,,,,,
2.98%,334,,,,,
2.99%,323,,,,,
3%,345,,,,,
3.01%,366,,,,,
3.02%,321,,,,,
3.03%,310,,,,,
3.04%,368,,,,,
3.05%,362,,,,,
3.06%,336,,,,,
3.07%,324,,,,,
3.08%,357,,,,,
3.09%,351,,,,,
3.10%,375,,,,,
3.11%,325,,,,,
3.12%,361,,,,,
3.13%,348,,,,,
3.14%,344,,,,,
3.15%,363,,,,,
3.16%,357,,,,,
3.17%,368,,,,,
3.18%,359,,,,,
3.19%,334,,,,,
3.20%,360,,,,,
3.21%,331,,,,,
3.22%,343,,,,,
3.23%,362,,,,,
3.24%,348,,,,,
3.25%,361,,,,,
3.26%,340,,,,,
3.27%,374,,,,,
3.28%,312,,,,,
3.29%,326,,,,,
3.30%,367,,,,,
3.31%,361,,,,,
3.32%,361,,,,,
3.33%,395,,,,,
3.34%,343,,,,,
3.35%,346,,,,,
3.36%,357,,,,,
3.37%,346,,,,,
3.38%,360,,,,,
3.39%,368,,,,,
3.40%,375,,,,,
3.41%,342,,,,,
3.42%,402,,,,,
3.43%,374,,,,,
3.44%,342,,,,,
3.45%,306,,,,,
3.46%,359,,,,,
3.47%,313,,,,,
3.48%,363,,,,,
3.49%,311,,,,,
3.50%,339,,,,,
3.51%,343,,,,,
3.52%,320,,,,,
3.53%,331,,,,,
3.54%,337,,,,,
3.55%,315,,,,,
3.56%,350,,,,,
3.57%,357,,,,,
3.58%,326,,,,,
3.59%,324,,,,,
3.60%,345,,,,,
3.61%,337,,,,,
3.62%,354,,,,,
3.63%,355,,,,,
