Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
,,1000000,2.50E-09,11.2253854,0.1,41
0%,399909,,,,,
0.10%,218112,,,,,
0.20%,122716,,,,,
0.30%,73890,,,,,
0.40%,46853,,,,,
0.50%,31366,,,,,
0.60%,22049,,,,,
0.70%,15709,,,,,
0.80%,11918,,,,,
0.90%,9245,,,,,
1%,7079,,,,,
1.10%,5705,,,,,
1.20%,4701,,,,,
1.30%,3704,,,,,
1.40%,3132,,,,,
1.50%,2629,,,,,
1.60%,2231,,,,,
1.70%,1832,,,,,
1.80%,1652,,,,,
1.90%,1441,,,,,
2%,1234,,,,,
2.10%,1122,,,,,
2.20%,1004,,,,,
2.30%,940,,,,,
2.40%,761,,,,,
2.50%,641,,,,,
2.60%,605,,,,,
2.70%,554,,,,,
2.80%,492,,,,,
2.90%,497,,,,,
3%,422,,,,,
3.10%,363,,,,,
3.20%,325,,,,,
3.30%,309,,,,,
3.40%,271,,,,,
3.50%,251,,,,,
3.60%,260,,,,,
3.70%,207,,,,,
3.80%,226,,,,,
3.90%,191,,,,,
4%,182,,,,,
4.10%,170,,,,,
4.20%,172,,,,,
4.30%,137,,,,,
4.40%,128,,,,,
4.50%,146,,,,,
4.60%,134,,,,,
4.70%,106,,,,,
4.80%,102,,,,,
4.90%,108,,,,,
5%,113,,,,,
5.10%,76,,,,,
5.20%,93,,,,,
5.30%,82,,,,,
5.40%,67,,,,,
5.50%,61,,,,,
5.60%,55,,,,,
5.70%,65,,,,,
5.80%,57,,,,,
5.90%,77,,,,,
6%,45,,,,,
6.10%,45,,,,,
6.20%,42,,,,,
6.30%,38,,,,,
6.40%,50,,,,,
6.50%,38,,,,,
6.60%,38,,,,,
6.70%,37,,,,,
6.80%,33,,,,,
6.90%,31,,,,,
7%,30,,,,,
7.10%,24,,,,,
7.20%,34,,,,,
7.30%,27,,,,,
7.40%,35,,,,,
7.50%,18,,,,,
7.60%,29,,,,,
7.70%,18,,,,,
7.80%,19,,,,,
7.90%,28,,,,,
8%,16,,,,,
8.10%,25,,,,,
8.20%,14,,,,,
8.30%,20,,,,,
8.40%,24,,,,,
8.50%,17,,,,,
8.60%,12,,,,,
8.70%,18,,,,,
8.80%,12,,,,,
8.90%,19,,,,,
9%,16,,,,,
9.10%,11,,,,,
9.20%,13,,,,,
9.30%,9,,,,,
9.40%,15,,,,,
9.50%,21,,,,,
9.60%,7,,,,,
9.70%,9,,,,,
9.80%,7,,,,,
9.90%,8,,,,,
10%,9,,,,,
10.10%,13,,,,,
10.20%,11,,,,,
10.30%,8,,,,,
10.40%,10,,,,,
10.50%,9,,,,,
10.60%,10,,,,,
10.70%,5,,,,,
10.80%,12,,,,,
10.90%,5,,,,,
11%,2,,,,,
11.10%,7,,,,,
11.20%,5,,,,,
11.30%,3,,,,,
11.40%,8,,,,,
11.50%,4,,,,,
11.60%,4,,,,,
11.70%,10,,,,,
