t, s[1].omega / s[0].omega 
0, -1.8199969163478016 
0.009999999999999995, -1.8192216633993632 
0.019999999999999934, -1.8174606183111721 
0.029999999999999874, -1.8145008849591993 
0.04000000000000012, -1.809854787288352 
0.050000000000000405, -1.8025346824067476 
0.06000000000000069, -1.7912863473864022 
0.07000000000000098, -1.7774069918478737 
0.08000000000000126, -1.7683493657576999 
0.09000000000000155, -1.7675646082556622 
0.10000000000000184, -1.7692702959862203 
0.11000000000000212, -1.7699875441036739 
0.12000000000000241, -1.769046049103326 
0.130000000000002, -1.7653514193413418 
0.1400000000000009, -1.7554025221740595 
0.1499999999999998, -1.7373706170370178 
0.1599999999999987, -1.7644571433506744 
0.1699999999999976, -1.9006649960659732 
0.1799999999999965, -2.003300731577312 
0.1899999999999954, -2.0459010965969875 
0.1999999999999943, -2.063730186377771 
0.2099999999999932, -2.071971283632926 
0.2199999999999921, -2.0758463143946733 
0.229999999999991, -2.077357378110926 
0.2399999999999899, -2.077368122517434 
0.2499999999999888, -2.0762413810218527 
0.2599999999999877, -2.074005565330565 
0.2699999999999866, -2.070229013871399 
0.2799999999999855, -2.06410857472667 
0.2899999999999844, -2.056691827557017 
0.2999999999999833, -2.0530454279401744 
0.3099999999999822, -2.0536876962996558 
0.3199999999999811, -2.0544366346628022 
0.32999999999998, -2.0535924913599293 
0.3399999999999789, -2.0497392654394098 
0.3499999999999778, -2.039172291727181 
0.35999999999997667, -2.0310971802692195 
0.36999999999997557, -2.0854867818355562 
0.37999999999997447, -2.1522230384426146 
0.38999999999997337, -2.182349376583484 
0.39999999999997227, -2.194631063171047 
0.40999999999997117, -2.2000923798389236 
0.41999999999997006, -2.2024648653962746 
0.42999999999996896, -2.2030492802143895 
0.43999999999996786, -2.2022787768052354 
0.44999999999996676, -2.2001109465642084 
0.45999999999996566, -2.1959052126289254 
0.46999999999996456, -2.1877376306925527 
0.47999999999996346, -2.1724538880149837 
0.48999999999996235, -2.155298281207819 
0.49999999999996125, -2.1524525214955146 
0.5099999999999602, -2.155886799372298 
0.519999999999959, -2.157318687590727 
0.529999999999958, -2.1565642188773766 
0.5399999999999568, -2.153617110078776 
0.5499999999999557, -2.1509106495739685 
0.5599999999999546, -2.1593752855994177 
0.5699999999999535, -2.1748335942644106 
0.5799999999999524, -2.1847181914756275 
0.5899999999999513, -2.189549009287743 
0.5999999999999502, -2.191784252902729 
0.6099999999999491, -2.192474302552746 
0.619999999999948, -2.1918627330972655 
0.6299999999999469, -2.1897349826463897 
0.6399999999999458, -2.185284815710829 
0.6499999999999447, -2.1762929887174396 
0.6599999999999436, -2.156229250002213 
0.6699999999999425, -2.1071319747608963 
0.6799999999999414, -2.0224606003060983 
0.6899999999999403, -1.9946826128166677 
0.6999999999999392, -2.00868368773704 
0.7099999999999381, -2.015995822402421 
0.719999999999937, -2.017958507401135 
0.7299999999999359, -2.0175673832593866 
0.7399999999999348, -2.0158995417008945 
0.7499999999999337, -2.0153506149402993 
0.7599999999999326, -2.019912638546177 
0.7699999999999315, -2.0270234433559535 
0.7799999999999304, -2.0321801105715105 
0.7899999999999293, -2.035090134170358 
0.7999999999999282, -2.0365591990761343 
0.8099999999999271, -2.036939621674274 
0.819999999999926, -2.036192952203343 
0.8299999999999249, -2.033996345803251 
0.8399999999999238, -2.0296033470327255 
0.8499999999999227, -2.0213307309894146 
0.8599999999999216, -2.0049641342439757 
0.8699999999999205, -1.9691586255302802 
0.8799999999999194, -1.8910731728325154 
0.8899999999999183, -1.7930649400391967 
0.8999999999999172, -1.7717189671690061 
0.9099999999999161, -1.7847908128668588 
0.919999999999915, -1.7922287591050938 
0.9299999999999139, -1.794640980277697 
0.9399999999999128, -1.7946262562000903 
0.9499999999999117, -1.7929570619478343 
0.9599999999999106, -1.7904268755171908 
0.9699999999999095, -1.7916752051614815 
0.9799999999999084, -1.8025936137804703 
0.9899999999999073, -1.8171098142872713 
0.9999999999999062, -1.8277524657580249 
1.0099999999999052, -1.8342094198488088 
1.019999999999904, -1.838017509855843 
1.029999999999903, -1.840171167242288 
1.039999999999902, -1.8411374719955602 
1.0499999999999008, -1.8411133644833793 
1.0599999999998997, -1.8401410222301213 
1.0699999999998986, -1.838129265271353 
1.0799999999998975, -1.8348037116778158 
1.0899999999998964, -1.8295381709700902 
1.0999999999998953, -1.8211260236691231 
1.1099999999998942, -1.8084848147111998 
1.119999999999893, -1.7947993035375351 
1.129999999999892, -1.7885174322486879 
1.1399999999998909, -1.7893306143500673 
1.1499999999998898, -1.7909404015620196 
1.1599999999998887, -1.7911690149726958 
1.1699999999998876, -1.7895037525480717 
1.1799999999998865, -1.7842834013010829 
1.1899999999998854, -1.7717057010470758 
1.1999999999998843, -1.7623343099736168 
1.2099999999998832, -1.8309325759541895 
1.219999999999882, -1.9455512210487451 
1.229999999999881, -2.006948174556028 
1.2399999999998799, -2.0328172270258884 
1.2499999999998788, -2.0445556867541317 
1.2599999999998777, -2.0502498843088226 
1.2699999999998766, -2.0528788424846125 
1.2799999999998755, -2.0536791624211252 
1.2899999999998744, -2.053202615158058 
1.2999999999998733, -2.0516489354104435 
1.3099999999998722, -2.0488913044878396 
1.319999999999871, -2.044303535091269 
1.32999999999987, -2.0372851848977356 
1.3399999999998689, -2.0303138463634984 
1.3499999999998678, -2.0282858966557806 
1.3599999999998666, -2.029309574777773 
1.3699999999998655, -2.0297105806927727 
1.3799999999998644, -2.028277487933942 
1.3899999999998633, -2.0231137509635544 
1.3999999999998622, -2.010194062050514 
1.4099999999998611, -2.00993260966975 
1.41999999999986, -2.0818092808943933 
1.429999999999859, -2.146133776546029 
1.4399999999998578, -2.1732472809472894 
1.4499999999998567, -2.1844405567032528 
1.4599999999998556, -2.1894786527703696 
1.4699999999998545, -2.191633463652325 
1.4799999999998534, -2.192070608137806 
1.4899999999998523, -2.191178441559958 
1.4999999999998512, -2.1888913422004697 
1.5099999999998501, -2.1845311790129167 
1.519999999999849, -2.1761634833310226 
1.529999999999848, -2.1613358907758675 
1.5399999999998468, -2.1471149148193334 
1.5499999999998457, -2.1460734654638043 
1.5599999999998446, -2.1490480342612686 
1.5699999999998435, -2.1500063702513277 
1.5799999999998424, -2.1488443621394047 
1.5899999999998413, -2.1453336432028336 
1.5999999999998402, -2.142998263316417 
1.6099999999998391, -2.1545064157522047 
1.619999999999838, -2.1717881070204177 
1.629999999999837, -2.1820520363164944 
1.6399999999998358, -2.186979733837909 
1.6499999999998347, -2.18924930036154 
1.6599999999998336, -2.1899432800943393 
1.6699999999998325, -2.1893303739880987 
1.6799999999998314, -2.1872251672605407 
1.6899999999998303, -2.1828663422531767 
1.6999999999998292, -2.174129436401255 
1.709999999999828, -2.1548334191592273 
1.719999999999827, -2.109327958894292 
1.729999999999826, -2.039471643286814 
1.7399999999998248, -2.0227038983213363 
1.7499999999998237, -2.034695994711161 
1.7599999999998226, -2.0404060189742266 
1.7699999999998215, -2.0417392459864994 
1.7799999999998204, -2.0409791287811574 
1.7899999999998193, -2.0391407521928464 
1.7999999999998182, -2.039387998069634 
1.809999999999817, -2.0452584998039725 
1.819999999999816, -2.052453179142941 
1.8299999999998149, -2.0571615431780446 
1.8399999999998138, -2.0597126807700774 
1.8499999999998127, -2.060908153266144 
1.8599999999998116, -2.061007401387463 
1.8699999999998105, -2.0598984687140587 
1.8799999999998094, -2.0571455367548115 
1.8899999999998083, -2.0517483266436822 
1.8999999999998072, -2.0413404680791603 
1.909999999999806, -2.0196327968606433 
1.919999999999805, -1.969488274582788 
1.9299999999998039, -1.8673544091011949 
1.9399999999998028, -1.78403649555291 
1.9499999999998017, -1.7856947384546937 
1.9599999999998006, -1.7986997541251408 
1.9699999999997995, -1.8041185442412278 
1.9799999999997984, -1.8055347079562576 
1.9899999999997973, -1.80492692630486 
1.9999999999997962, -1.8028605847036172 
2.0099999999998173, -1.801101846734824 
2.0199999999998384, -1.8056117832850007 
2.0299999999998595, -1.817960826951806 
2.0399999999998806, -1.83002160297196 
2.0499999999999017, -1.8379674296302446 
2.059999999999923, -1.8427027017595823 
2.069999999999944, -1.8454575317061366 
2.079999999999965, -1.846882972733208 
2.089999999999986, -1.8472614606879625 
2.100000000000007, -1.846685380505054 
2.1100000000000283, -1.8451106286740528 
2.1200000000000494, -1.8423348433453062 
2.1300000000000705, -1.837880540971653 
2.1400000000000916, -1.8307256889813417 
2.1500000000001127, -1.819214985469707 
2.160000000000134, -1.8033183437445341 
2.170000000000155, -1.7905352544073867 
2.180000000000176, -1.7880917865137866 
2.190000000000197, -1.790109940839842 
2.2000000000002182, -1.791355705769499 
2.2100000000002393, -1.7909468529227843 
2.2200000000002604, -1.788256328497879 
2.2300000000002815, -1.7810158545208234 
2.2400000000003026, -1.768206313004093 
2.2500000000003237, -1.7830658215853756 
2.260000000000345, -1.871106961469587 
2.270000000000366, -1.9482583189616502 
2.280000000000387, -1.9847831233083482 
2.290000000000408, -2.001330156700922 
2.3000000000004293, -2.009432709324505 
2.3100000000004504, -2.0134879334847873 
2.3200000000004715, -2.015260757406753 
2.3300000000004926, -2.015539915141955 
2.3400000000005137, -2.0146821301348483 
2.3500000000005348, -2.0127758249672807 
2.360000000000556, -2.0095767599876346 
2.370000000000577, -2.004388599504815 
2.380000000000598, -1.997085048332457 
2.390000000000619, -1.9911421364678366 
2.4000000000006403, -1.9901896024989045 
2.4100000000006614, -1.9912010502833386 
2.4200000000006825, -1.9912730697121834 
2.4300000000007036, -1.989326749411818 
2.4400000000007247, -1.982880720432427 
2.450000000000746, -1.9669258331795194 
2.460000000000767, -1.9702493825480425 
2.470000000000788, -2.0652597143132554 
2.480000000000809, -2.1424948948946834 
2.49000000000083, -2.1733079912303643 
2.5000000000008513, -2.1857209409571468 
2.5100000000008724, -2.1912399099733695 
2.5200000000008935, -2.1936038263770468 
2.5300000000009146, -2.1941475613952472 
2.5400000000009357, -2.1933443768694985 
2.550000000000957, -2.1911969063259304 
2.560000000000978, -2.187124004652822 
2.570000000000999, -2.1794338748208197 
2.58000000000102, -2.166369345539392 
2.5900000000010412, -2.1548727660916978 
2.6000000000010624, -2.1544703675108847 
2.6100000000010835, -2.1569306344128725 
2.6200000000011046, -2.157516501207393 
2.6300000000011257, -2.155972862335786 
2.6400000000011468, -2.1518136275111197 
2.650000000001168, -2.149837044755927 
2.660000000001189, -2.1648754287691965 
2.67000000000121, -2.1843165136915195 
2.680000000001231, -2.195072586035269 
2.6900000000012523, -2.2001095640643635 
2.7000000000012734, -2.202395568160397 
2.7100000000012945, -2.2030663761136147 
2.7200000000013156, -2.202411625427624 
2.7300000000013367, -2.2002509963543604 
2.740000000001358, -2.195800347996592 
2.750000000001379, -2.1868188081871693 
2.7600000000014, -2.166772289668771 
2.770000000001421, -2.1207880399680668 
2.780000000001442, -2.0616142447203067 
2.7900000000014633, -2.0555553614850606 
2.8000000000014844, -2.066085348277624 
2.8100000000015055, -2.070345216545954 
2.8200000000015266, -2.0710338967119366 
2.8300000000015477, -2.0698671589478415 
2.840000000001569, -2.068090187231423 
2.85000000000159, -2.0698054736343607 
2.860000000001611, -2.0766765266793743 
2.870000000001632, -2.0831423644219274 
2.8800000000016532, -2.086963708534153 
2.8900000000016743, -2.0889369717019486 
2.9000000000016954, -2.0896960708858723 
2.9100000000017165, -2.0893346406680355 
2.9200000000017377, -2.087592087079327 
2.9300000000017588, -2.083773020939377 
2.94000000000178, -2.076262997183366 
2.950000000001801, -2.0609419691659046 
2.960000000001822, -2.0259412121853613 
2.970000000001843, -1.9405497309224953 
2.9800000000018643, -1.8045391551778853 
2.9900000000018854, -1.7591050842640872 
3.0000000000019065, -1.7755838911291935 
3.0100000000019276, -1.7862209025027713 
