t, s[1].omega / s[0].omega 
0, -60.05954285335052 
0.009999999999999995, 140.7684882099074 
0.019999999999999934, 149.59947095428075 
0.029999999999999874, 148.87240949318533 
0.04000000000000012, 148.2676834499145 
0.050000000000000405, 147.69965573783 
0.06000000000000069, 147.13625559467727 
0.07000000000000098, 146.57731748894219 
0.08000000000000126, 146.02267447268082 
0.09000000000000155, 145.47223587607564 
0.10000000000000184, 144.9259326999393 
0.11000000000000212, 144.38372776978028 
0.12000000000000241, 143.84561722088162 
0.130000000000002, 143.3115339250472 
0.1400000000000009, 142.7814236610988 
0.1499999999999998, 142.25526300259926 
0.1599999999999987, 141.7325527846661 
0.1699999999999976, 141.2125254598649 
0.1799999999999965, 140.708752030562 
0.1899999999999954, 139.75254213601477 
0.1999999999999943, 184.5200969808854 
0.2099999999999932, 362.89772255612024 
0.2199999999999921, 454.31144206807915 
0.229999999999991, 477.50237033231315 
0.2399999999999899, 472.09608073080017 
0.2499999999999888, 466.3732764165995 
0.2599999999999877, 460.8096813387345 
0.2699999999999866, 455.3744941632557 
0.2799999999999855, 450.0659530835055 
0.2899999999999844, 444.87965237964136 
0.2999999999999833, 439.8115584188361 
0.3099999999999822, 434.8576606583759 
0.3199999999999811, 430.0140848203135 
0.32999999999998, 425.2772460319537 
0.3399999999999789, 420.64358704506884 
0.3499999999999778, 416.1096139661736 
0.35999999999997667, 411.6724128523607 
0.36999999999997557, 407.32763429481616 
0.37999999999997447, 403.0748240890145 
0.38999999999997337, 398.8876047521113 
0.39999999999997227, 394.1890812142092 
0.40999999999997117, 452.8708650181591 
0.41999999999997006, 499.593168055704 
0.42999999999996896, -398.17068102315267 
0.43999999999996786, -390.7125916106086 
0.44999999999996676, -387.09121944613537 
0.45999999999996566, -383.25086183518863 
0.46999999999996456, -379.4834252711288 
0.47999999999996346, -375.789392098917 
0.48999999999996235, -372.16672689980044 
0.49999999999996125, -368.6131808247516 
0.5099999999999602, -365.12702830632645 
0.519999999999959, -361.70611599371534 
0.529999999999958, -358.3487142884727 
0.5399999999999568, -355.0530789895562 
0.5499999999999557, -351.8174972143114 
0.5599999999999546, -348.6404151638536 
0.5699999999999535, -345.520042216413 
0.5799999999999524, -342.45535736541973 
0.5899999999999513, -339.44271023003114 
0.5999999999999502, -336.5222624837059 
0.6099999999999491, -332.74576294716474 
0.619999999999948, -332.4562537553659 
0.6299999999999469, -249.72144877988518 
0.6399999999999458, -760.4440832439917 
0.6499999999999447, -757.2727315381456 
0.6599999999999436, -742.592900293771 
0.6699999999999425, -728.5840865165494 
0.6799999999999414, -715.0901739701874 
0.6899999999999403, -702.0846436347549 
0.6999999999999392, -689.5421151566103 
0.7099999999999381, -677.4427610685273 
0.719999999999937, -665.7605898999211 
0.7299999999999359, -654.4744945597799 
