t, s[1].omega / s[0].omega 
0, -1.4099970835575302 
0.009999999999999995, -1.409484340410771 
0.019999999999999934, -1.4087585509640945 
0.029999999999999874, -1.408456469864171 
0.04000000000000012, -1.4059409097757638 
0.050000000000000405, -1.384247475301834 
0.06000000000000069, -1.3862053409270036 
0.07000000000000098, -1.3859385830040292 
0.08000000000000126, -1.3869585505554523 
0.09000000000000155, -1.3888642966979352 
0.10000000000000184, -1.3889711815974093 
0.11000000000000212, -1.3886278121883555 
0.12000000000000241, -1.388419232494804 
0.130000000000002, -1.3879551609075147 
0.1400000000000009, -1.386250740723009 
0.1499999999999998, -1.3843371377712266 
0.1599999999999987, -1.3841358206034624 
0.1699999999999976, -1.3811566239738284 
0.1799999999999965, -1.4001190626470852 
0.1899999999999954, -1.4049581562081488 
0.1999999999999943, -1.4047263385636888 
0.2099999999999932, -1.4048734503095393 
0.2199999999999921, -1.4049796397504895 
0.229999999999991, -1.4046276696845192 
0.2399999999999899, -1.403973650236484 
0.2499999999999888, -1.4036438712908677 
0.2599999999999877, -1.4025123778312802 
0.2699999999999866, -1.3883014928932307 
0.2799999999999855, -1.3845649821956074 
0.2899999999999844, -1.3845259519429038 
0.2999999999999833, -1.3847937548926148 
0.3099999999999822, -1.388245091174552 
0.3199999999999811, -1.3888368302836975 
0.32999999999998, -1.3885354228196096 
0.3399999999999789, -1.388339944686066 
0.3499999999999778, -1.3880496023732956 
0.35999999999997667, -1.387008066031768 
0.36999999999997557, -1.3851869623727453 
0.37999999999997447, -1.3849198645365517 
0.38999999999997337, -1.3832551104098767 
0.39999999999997227, -1.3863273023022917 
0.40999999999997117, -1.399292728600456 
0.41999999999997006, -1.3992631400972602 
0.42999999999996896, -1.3993136539777422 
0.43999999999996786, -1.3997245243633534 
0.44999999999996676, -1.399573470841083 
0.45999999999996566, -1.3990543158725848 
0.46999999999996456, -1.3986733252818417 
0.47999999999996346, -1.3981166028631304 
0.48999999999996235, -1.392629818472901 
0.49999999999996125, -1.3849243537635099 
0.5099999999999602, -1.3851661181178114 
0.519999999999959, -1.384576175094768 
0.529999999999958, -1.3900757792629284 
0.5399999999999568, -1.3919671399890576 
0.5499999999999557, -1.3917761720513433 
