t,x,y
5.600000e0,-1.660549e2,2.994373e2
5.640000e0,-1.540304e2,3.064532e2
5.680000e0,-1.402879e2,3.132657e2
5.720000e0,-1.260213e2,3.202852e2
5.760000e0,-1.112863e2,3.255297e2
5.800000e0,-9.731132e1,3.301949e2
5.840000e0,-8.143699e1,3.338141e2
5.880000e0,-6.588085e1,3.384745e2
5.920000e0,-5.059349e1,3.419997e2
5.960000e0,-3.482538e1,3.451683e2
6.000000e0,-2.046105e1,3.465652e2
6.040000e0,-3.764683e0,3.477622e2
6.080000e0,9.894883e0,3.488063e2
6.120000e0,2.565942e1,3.485081e2
6.160000e0,4.089861e1,3.475365e2
6.200000e0,5.692823e1,3.454090e2
6.240000e0,7.283932e1,3.435798e2
6.280000e0,8.763390e1,3.416920e2
6.320000e0,1.029820e2,3.371981e2
6.360000e0,1.182642e2,3.331203e2
6.400000e0,1.330493e2,3.281869e2
6.440000e0,1.487398e2,3.234898e2
6.480000e0,1.626153e2,3.188255e2
6.520000e0,1.785833e2,3.114314e2
6.560000e0,1.938424e2,3.029937e2
6.600000e0,2.073685e2,2.954005e2
6.640000e0,2.206741e2,2.875296e2
6.680000e0,2.332787e2,2.769804e2
6.720000e0,2.456891e2,2.700992e2
6.760000e0,2.572909e2,2.575069e2
6.800000e0,2.682095e2,2.450321e2
6.840000e0,2.786423e2,2.322194e2
6.880000e0,2.885926e2,2.189532e2
6.920000e0,2.981813e2,2.052242e2
6.960000e0,3.063111e2,1.916485e2
7.000000e0,3.145808e2,1.784911e2
7.040000e0,3.223393e2,1.639611e2
7.080000e0,3.291500e2,1.498837e2
7.120000e0,3.347218e2,1.354793e2
7.160000e0,3.400605e2,1.205745e2
7.200000e0,3.443493e2,1.055805e2
7.240000e0,3.485563e2,9.020539e1
7.280000e0,3.523680e2,7.368762e1
7.320000e0,3.552370e2,6.410143e1
7.360000e0,3.569671e2,4.822516e1
7.400000e0,3.585049e2,3.188464e1
7.440000e0,3.587737e2,1.578296e1
7.480000e0,3.601178e2,-2.324665e-1
7.520000e0,3.602172e2,-1.595741e1
7.560000e0,3.605304e2,-3.213738e1
7.600000e0,3.590334e2,-4.734640e1
7.640000e0,3.553945e2,-6.293979e1
7.680000e0,3.530909e2,-7.782816e1
7.720000e0,3.489404e2,-9.340482e1
7.760000e0,3.441941e2,-1.080749e2
7.800000e0,3.378520e2,-1.221872e2
7.840000e0,3.332648e2,-1.386756e2
7.880000e0,3.250295e2,-1.521774e2
7.920000e0,3.172837e2,-1.660439e2
7.960000e0,3.100242e2,-1.813355e2
8.000000e0,2.999090e2,-1.951330e2
8.040000e0,2.892860e2,-2.070166e2
8.080000e0,2.812183e2,-2.211120e2
8.120000e0,2.655918e2,-2.274998e2
8.160000e0,2.566544e2,-2.385426e2
8.200000e0,2.492804e2,-2.528347e2
8.240000e0,2.346963e2,-2.594637e2
8.280000e0,2.203471e2,-2.678621e2
8.320000e0,2.094971e2,-2.795465e2
8.360000e0,1.974559e2,-2.925249e2
8.400000e0,1.852855e2,-3.030672e2
8.440000e0,1.662584e2,-3.000834e2
8.480000e0,1.522111e2,-3.069311e2
8.520000e0,1.372391e2,-3.128181e2
8.560000e0,1.223593e2,-3.184180e2
8.600000e0,1.068058e2,-3.233338e2
8.640000e0,9.229824e1,-3.266663e2
8.680000e0,7.807746e1,-3.294319e2
8.720000e0,6.316669e1,-3.316474e2
8.760000e0,4.817450e1,-3.347603e2
8.800000e0,3.244417e1,-3.346203e2
8.840000e0,1.733844e1,-3.357139e2
8.880000e0,1.171733e0,-3.352773e2
8.920000e0,-1.353601e1,-3.349495e2
8.960000e0,-2.843575e1,-3.327622e2
9.000000e0,-4.385378e1,-3.331451e2
9.040000e0,-5.924432e1,-3.301969e2
9.080000e0,-7.399685e1,-3.263671e2
9.120000e0,-8.823423e1,-3.232773e2
9.160000e0,-1.028623e2,-3.182655e2
9.200000e0,-1.162419e2,-3.132407e2
9.240000e0,-1.298184e2,-3.070943e2
9.280000e0,-1.433373e2,-3.005177e2
9.320000e0,-1.662083e2,-2.935167e2
9.360000e0,-1.740914e2,-2.919527e2
9.400000e0,-1.899550e2,-2.811024e2
9.440000e0,-1.960322e2,-2.645886e2
9.480000e0,-2.134333e2,-2.599238e2
9.520000e0,-2.272484e2,-2.552514e2
9.560000e0,-2.420417e2,-2.401697e2
9.600000e0,-2.513056e2,-2.280818e2
9.640000e0,-2.512969e2,-2.109644e2
9.680000e0,-2.689651e2,-1.989247e2
9.720000e0,-2.815615e2,-1.929164e2
9.760000e0,-2.825357e2,-1.765483e2
9.800000e0,-2.957001e2,-1.625358e2
9.840000e0,-3.039244e2,-1.504549e2
9.880000e0,-3.100878e2,-1.358423e2
9.920000e0,-3.166531e2,-1.212356e2
9.960000e0,-3.220854e2,-1.070884e2
1.000000e1,-3.273020e2,-9.295584e1
1.004000e1,-3.312655e2,-7.835263e1
1.008000e1,-3.370344e2,-6.286125e1
1.012000e1,-3.404531e2,-4.779528e1
1.016000e1,-3.412625e2,-3.329120e1
