Sample (50 kS/s),   mV
00874,            496.00
00875,           -440.00
00876,           -160.00
00877,            560.00
00878,           -200.00
00879,           -448.00
00880,            520.00
00881,             40.00
00882,           -552.00
00883,            304.00
00884,            312.00
00885,           -528.00
00886,             32.00
00887,            520.00
00888,           -392.00
00889,           -240.00
00890,            552.00
00891,           -144.00
00892,           -496.00
00893,            488.00
00894,            112.00
00895,           -536.00
00896,            232.00
00897,            392.00
00898,           -512.00
00899,            -24.00
00900,            528.00
00901,           -320.00
00902,           -312.00
00903,            560.00
00904,            -80.00
00905,           -528.00
00906,            424.00
00907,            176.00
00908,           -552.00
00909,            152.00
00910,            456.00
00911,           -480.00
00912,            -88.00
00913,            536.00
00914,           -248.00
00915,           -392.00
00916,            552.00
00917,            -16.00
00918,           -528.00
00919,            352.00
00920,            256.00
00921,           -544.00
00922,             96.00
00923,            472.00
00924,           -424.00
00925,           -168.00
00926,            552.00
00927,           -184.00
00928,           -440.00
00929,            512.00
00930,             40.00
00931,           -536.00
00932,            280.00
00933,            336.00
00934,           -544.00
00935,             40.00
00936,            496.00
00937,           -368.00
00938,           -256.00
00939,            560.00
00940,           -128.00
00941,           -488.00
00942,            456.00
00943,            120.00
00944,           -552.00
00945,            224.00
00946,            392.00
00947,           -504.00
00948,            -16.00
00949,            520.00
00950,           -296.00
00951,           -336.00
00952,            552.00
00953,            -80.00
00954,           -504.00
00955,            400.00
00956,            208.00
00957,           -560.00
00958,            168.00
00959,            424.00
00960,           -464.00
00961,            -96.00
00962,            528.00
00963,           -240.00
00964,           -384.00
00965,            528.00
00966,            -16.00
00967,           -520.00
00968,            336.00
00969,            288.00
00970,           -560.00
00971,            112.00
00972,            456.00
00973,           -400.00
00974,           -184.00
00975,            552.00
00976,           -184.00
00977,           -424.00
00978,            488.00
00979,             56.00
00980,           -536.00
00981,            272.00
00982,            328.00
00983,           -528.00
00984,             40.00
00985,            488.00
00986,           -344.00
00987,           -256.00
00988,            560.00
00989,           -136.00
00990,           -464.00
00991,            432.00
00992,            144.00
00993,           -568.00
00994,            224.00
00995,            376.00
00996,           -496.00
00997,            -32.00
00998,            520.00
00999,           -288.00
01000,           -320.00
01001,            536.00
01002,            -72.00
01003,           -488.00
01004,            368.00
01005,            216.00
01006,           -568.00
01007,            168.00
01008,            424.00
01009,           -440.00
01010,           -120.00
01011,            536.00
01012,           -248.00
01013,           -360.00
01014,            504.00
01015,              8.00
01016,           -520.00
01017,            328.00
01018,            272.00
01019,           -560.00
01020,            112.00
01021,            440.00
01022,           -384.00
01023,           -184.00
01024,            552.00
01025,           -192.00
01026,           -408.00
01027,            456.00
01028,             88.00
01029,           -544.00
01030,            280.00
01031,            320.00
01032,           -512.00
01033,             24.00
01034,            488.00
01035,           -336.00
01036,           -256.00
01037,            552.00
01038,           -120.00
01039,           -440.00
01040,            408.00
01041,            160.00
01042,           -568.00
01043,            232.00
01044,            368.00
01045,           -464.00
01046,            -56.00
01047,            520.00
01048,           -296.00
01049,           -312.00
01050,            512.00
01051,            -40.00
01052,           -496.00
01053,            368.00
01054,            216.00
01055,           -560.00
01056,            152.00
01057,            400.00
01058,           -424.00
01059,           -120.00
01060,            544.00
01061,           -248.00
01062,           -352.00
01063,            488.00
01064,             32.00
01065,           -528.00
01066,            328.00
01067,            272.00
01068,           -528.00
01069,             88.00
01070,            456.00
01071,           -392.00
01072,           -192.00
01073,            536.00
01074,           -176.00
01075,           -392.00
01076,            440.00
01077,            104.00
01078,           -560.00
01079,            272.00
01080,            312.00
01081,           -496.00
01082,              8.00
01083,            504.00
01084,           -344.00
01085,           -248.00
01086,            520.00
01087,           -104.00
01088,           -440.00
01089,            408.00
01090,            168.00
01091,           -552.00
01092,            216.00
01093,            368.00
01094,           -464.00
01095,            -64.00
01096,            520.00
01097,           -296.00
01098,           -288.00
01099,            488.00
01100,            -32.00
01101,           -496.00
01102,            376.00
01103,            208.00
01104,           -536.00
01105,            136.00
01106,            416.00
01107,           -432.00
01108,           -128.00
01109,            520.00
01110,           -240.00
01111,           -352.00
01112,            464.00
01113,             40.00
01114,           -528.00
01115,            320.00
01116,            264.00
01117,           -520.00
01118,             72.00
01119,            464.00
01120,           -400.00
01121,           -176.00
01122,            512.00
01123,           -168.00
01124,           -408.00
01125,            440.00
01126,             96.00
01127,           -528.00
01128,            264.00
01129,            304.00
01130,           -496.00
01131,             -8.00
01132,            496.00
01133,           -344.00
01134,           -224.00
01135,            496.00
01136,            -88.00
01137,           -456.00
01138,            408.00
01139,            152.00
01140,           -528.00
01141,            192.00
01142,            376.00
01143,           -464.00
01144,            -56.00
01145,            504.00
01146,           -288.00
01147,           -280.00
01148,            488.00
01149,            -24.00
01150,           -488.00
01151,            368.00
01152,            200.00
01153,           -520.00
01154,            120.00
01155,            424.00
01156,           -432.00
01157,           -112.00
01158,            512.00
01159,           -224.00
01160,           -360.00
01161,            464.00
01162,             32.00
01163,           -512.00
01164,            312.00
01165,            256.00
01166,           -512.00
01167,             56.00
01168,            456.00
01169,           -400.00
01170,           -168.00
01171,            504.00
01172,           -152.00
01173,           -408.00
01174,            432.00
01175,             88.00
01176,           -520.00
01177,            248.00
01178,            328.00
01179,           -496.00
01180,              0.00
01181,            488.00
01182,           -336.00
01183,           -240.00
01184,            488.00
01185,            -88.00
01186,           -448.00
01187,            400.00
01188,            144.00
01189,           -520.00
01190,            176.00
01191,            376.00
01192,           -472.00
01193,            -56.00
01194,            496.00
01195,           -280.00
01196,           -296.00
01197,            480.00
01198,            -24.00
01199,           -472.00
01200,            352.00
01201,            200.00
01202,           -512.00
01203,            112.00
01204,            416.00
01205,           -440.00
01206,           -104.00
01207,            496.00
01208,           -216.00
01209,           -352.00
01210,            464.00
01211,             16.00
01212,           -496.00
01213,            296.00
01214,            272.00
01215,           -504.00
01216,             72.00
01217,            448.00
01218,           -384.00
01219,           -176.00
01220,            496.00
01221,           -144.00
01222,           -400.00
01223,            448.00
01224,             88.00
01225,           -504.00
01226,            232.00
01227,            328.00
01228,           -496.00
01229,              8.00
01230,            464.00
01231,           -328.00
01232,           -240.00
01233,            496.00
01234,            -96.00
01235,           -432.00
01236,            392.00
01237,            144.00
01238,           -512.00
01239,            176.00
01240,            376.00
01241,           -472.00
01242,            -48.00
01243,            472.00
01244,           -264.00
01245,           -296.00
01246,            488.00
01247,            -40.00
01248,           -456.00
01249,            328.00
01250,            216.00
01251,           -512.00
01252,            120.00
01253,            400.00
01254,           -432.00
01255,           -120.00
01256,            488.00
01257,           -208.00
01258,           -344.00
01259,            464.00
01260,             16.00
01261,           -480.00
01262,            272.00
01263,            280.00
01264,           -512.00
01265,             72.00
01266,            432.00
01267,           -376.00
01268,           -176.00
01269,            496.00
01270,           -152.00
01271,           -384.00
01272,            424.00
01273,             88.00
01274,           -496.00
01275,            224.00
01276,            328.00
01277,           -496.00
01278,              8.00
01279,            456.00
01280,           -304.00
01281,           -240.00
01282,            504.00
01283,            -96.00
01284,           -424.00
01285,            376.00
01286,            160.00
