t, ω_1 
0, 42.8
0.010000000000000002, 42.779018984547854
0.02000000000000001, 42.7580501729117
0.03000000000000002, 42.737093550745044
0.04000000000000003, 42.716149104992134
0.05000000000000004, 42.695216823891336
0.060000000000000046, 42.674296696772814
0.07000000000000005, 42.65338870799638
0.08000000000000006, 42.63249284358121
0.09000000000000007, 42.61160909057785
0.10000000000000007, 42.59073743757952
0.11000000000000008, 42.56987787365588
0.12000000000000009, 42.549030383111784
0.1300000000000001, 42.52819495227208
0.1400000000000001, 42.50737156829498
0.1500000000000001, 42.4865602200974
0.16000000000000011, 42.46576089647253
0.17000000000000012, 42.444973581762376
0.18000000000000013, 42.42419826254412
0.19000000000000014, 42.40343492608652
0.20000000000000015, 42.38268356159024
0.21000000000000016, 42.36194415759048
0.22000000000000017, 42.341216698523944
0.23000000000000018, 42.32050117117605
0.24000000000000019, 42.29979756292748
0.25000000000000017, 42.279105863219776
0.2600000000000002, 42.25842606037282
0.2700000000000002, 42.23775813894784
0.2800000000000002, 42.217102085903136
0.2900000000000002, 42.19645788873008
0.3000000000000002, 42.17582553706909
0.3100000000000002, 42.155205019082885
0.32000000000000023, 42.13459631946638
0.33000000000000024, 42.11399942532289
0.34000000000000025, 42.09341432424985
0.35000000000000026, 42.07284100604815
0.36000000000000026, 42.05227945879001
0.3700000000000003, 42.031729667299
0.3800000000000003, 42.011191618801185
0.3900000000000003, 41.990665300992745
0.4000000000000003, 41.970150703800314
0.4100000000000003, 41.94964781527643
0.4200000000000003, 41.929156620359436
0.4300000000000003, 41.908677106379706
0.44000000000000034, 41.888209261122924
0.45000000000000034, 41.86775307460969
0.46000000000000035, 41.84730853494513
0.47000000000000036, 41.82687562716395
0.48000000000000037, 41.80645433868441
0.4900000000000004, 41.78604465737168
0.5000000000000003, 41.76564657330977
0.5100000000000003, 41.745260074728776
0.5200000000000004, 41.72488514674031
0.5300000000000004, 41.70452177683454
0.5400000000000004, 41.68416995294665
0.5500000000000004, 41.66382966519286
0.5600000000000004, 41.6435009019993
0.5700000000000004, 41.62318364853769
0.5800000000000004, 41.60287789235288
0.5900000000000004, 41.58258362144238
0.6000000000000004, 41.56230082592087
0.6100000000000004, 41.54202949447902
0.6200000000000004, 41.52176961233789
0.6300000000000004, 41.501521167077065
0.6400000000000005, 41.48128414675133
0.6500000000000005, 41.46105854143693
0.6600000000000005, 41.44084434015197
0.6700000000000005, 41.42064152816686
0.6800000000000005, 41.4004500930713
0.6900000000000005, 41.38027002297572
0.7000000000000005, 41.36010130787816
0.7100000000000005, 41.339943937176805
0.7200000000000005, 41.31979789620759
0.7300000000000005, 41.299663172539454
0.7400000000000005, 41.2795397543402
0.7500000000000006, 41.25942763148923
0.7600000000000006, 41.239326793800366
0.7700000000000006, 41.2192372267137
0.7800000000000006, 41.19915891773892
0.7900000000000006, 41.179091855105376
0.8000000000000006, 41.15903602853679
0.8100000000000006, 41.13899142827222
0.8200000000000006, 41.11895803992382
0.8300000000000006, 41.0989358508951
0.8400000000000006, 41.078924849482036
0.8500000000000006, 41.05892502522431
0.8600000000000007, 41.03893636876043
0.8700000000000007, 41.01895886597689
0.8800000000000007, 40.998992504117176
0.8900000000000007, 40.97903727154671
0.9000000000000007, 40.95909315760743
0.9100000000000007, 40.93916015326845
0.9200000000000007, 40.9192382448285
0.9300000000000007, 40.89932741931455
0.9400000000000007, 40.87942766515827
0.9500000000000007, 40.85953897150935
0.9600000000000007, 40.839661329553486
0.9700000000000008, 40.8197947261677
0.9800000000000008, 40.79993914811398
0.9900000000000008, 40.78009458387524
1.0000000000000007, 40.76026102243597
1.0099999999999996, 40.74043845504602
1.0199999999999985, 40.720626869335234
1.0299999999999974, 40.70082625177773
1.0399999999999963, 40.681036590874804
1.0499999999999952, 40.66125787549155
1.059999999999994, 40.64149009677027
1.069999999999993, 40.62173324324223
1.0799999999999919, 40.60198730112219
1.0899999999999908, 40.582252258872124
1.0999999999999897, 40.56252810529557
1.1099999999999886, 40.54281483126563
1.1199999999999875, 40.5231124262909
1.1299999999999863, 40.50342087643765
1.1399999999999852, 40.48374017004112
1.1499999999999841, 40.464070295901934
1.159999999999983, 40.44441124450635
1.169999999999982, 40.4247630062964
1.1799999999999808, 40.40512556740836
1.1899999999999797, 40.38549891593518
1.1999999999999786, 40.36588304072065
1.2099999999999775, 40.34627793181822
1.2199999999999764, 40.32668358041111
1.2299999999999753, 40.30709997303362
1.2399999999999742, 40.287527097408784
1.2499999999999731, 40.26796494244267
1.259999999999972, 40.24841349779125
1.269999999999971, 40.228872755051626
1.2799999999999698, 40.209342701549915
1.2899999999999687, 40.18982332453952
1.2999999999999676, 40.17031461296604
1.3099999999999665, 40.15081655619047
1.3199999999999654, 40.13132914582814
1.3299999999999643, 40.11185237035443
1.3399999999999632, 40.09238621655052
1.3499999999999621, 40.072930673322226
1.359999999999961, 40.05348572987082
1.36999999999996, 40.034051377472466
1.3799999999999588, 40.01462760593086
1.3899999999999577, 39.99521440173352
1.3999999999999566, 39.97581175360142
1.4099999999999555, 39.95641965070236
1.4199999999999544, 39.93703808375809
1.4299999999999533, 39.91766704377892
1.4399999999999522, 39.89830651737249
1.449999999999951, 39.87895649287709
1.45999999999995, 39.85961695950657
1.469999999999949, 39.840287907405546
1.4799999999999478, 39.82096932834951
1.4899999999999467, 39.80166120966864
1.4999999999999456, 39.78236353912982
1.5099999999999445, 39.76307630599636
1.5199999999999434, 39.74379949997593
1.5299999999999423, 39.724533112984716
1.5399999999999412, 39.705277133667614
1.54999999999994, 39.68603154917146
