t, -s[0].ω, -s[0].φ 
0.78, 15.258930359183868, 0.0015259693323554763 
0.7809999999999999, 15.248038394854488, 0.01677970048682336 
0.7819999999999998, 15.236820394198851, 0.03202235604207045 
0.7829999999999997, 15.22532862152675, 0.04725363757350608 
0.7839999999999996, 15.213629734472093, 0.06247330670294675 
0.7849999999999995, 15.201806412453916, 0.07768120039499742 
0.7859999999999994, 15.189958859208513, 0.09287724782041645 
0.7869999999999993, 15.178206076589953, 0.10806148860552443 
0.7879999999999991, 15.166686789164201, 0.12323409217400227 
0.788999999999999, 15.155559884879903, 0.13839537775872462 
0.7899999999999989, 15.145004228928702, 0.15354583452143755 
0.7909999999999988, 15.1352177087534, 0.16868614107479207 
0.7919999999999987, 15.12641538096632, 0.1838171835651368 
0.7929999999999986, 15.118826618207418, 0.1989400713589546 
0.7939999999999985, 15.112691197225264, 0.21405614929629443 
0.7949999999999984, 15.108254328666153, 0.22916700544713012 
0.7959999999999983, 15.105760702091096, 0.24427447334624364 
0.7969999999999982, 15.105447702100133, 0.2593806278005309 
0.797999999999998, 15.107538036252677, 0.2744877735653016 
0.7989999999999979, 15.11223209395508, 0.2895984264709303 
0.7999999999999978, 15.119700417904768, 0.30471528693646377 
0.8009999999999977, 15.13007670667365, 0.31984120621118955 
0.8019999999999976, 15.14345177113811, 0.33497914610898705 
0.8029999999999975, 15.159868834646218, 0.3501321334080607 
0.8039999999999974, 15.17932049739874, 0.3653032104432709 
0.8049999999999973, 15.201747584629086, 0.3804953836855402 
0.8059999999999972, 15.227039975222112, 0.3957115722561273 
0.806999999999997, 15.255039374875889, 0.41095455834753475 
0.8079999999999969, 15.28554386946203, 0.42622694141537537 
0.8089999999999968, 15.318313982748656, 0.44153109777797345 
0.8099999999999967, 15.35307987837008, 0.45686914693569664 
0.8109999999999966, 15.389549295239878, 0.4722429255310807 
0.8119999999999965, 15.42741579050155, 0.4876539694487741 
0.8129999999999964, 15.46636688243164, 0.5031035041359061 
0.8139999999999963, 15.506091731966174, 0.5185924428393048 
0.8149999999999962, 15.546288068081216, 0.5341213921299277 
0.8159999999999961, 15.586668140610985, 0.5496906638325564 
0.816999999999996, 15.626963565977734, 0.5653002923074466 
0.8179999999999958, 15.66692900959821, 0.580950055939709 
0.8189999999999957, 15.706344717938876, 0.5966395016749414 
0.8199999999999956, 15.7450179697069, 0.6123679714848492 
0.8209999999999955, 15.782783557710223, 0.6281346297404239 
0.8219999999999954, 15.819503440324606, 0.6439384905980392 
0.8229999999999953, 15.855065715350795, 0.6597784446514402 
0.8239999999999952, 15.889383071277651, 0.6756532842574735 
0.8249999999999951, 15.92239086401288, 0.6915617270952671 
0.825999999999995, 15.95404495356995, 0.7075024376596017 
0.8269999999999949, 15.984319417453888, 0.7234740465142123 
0.8279999999999947, 16.013204237712305, 0.7394751672367089 
0.8289999999999946, 16.040703038545377, 0.7555044110727086 
0.8299999999999945, 16.066830932293747, 0.7715603993830482 
0.8309999999999944, 16.0916125144153, 0.7876417740161221 
0.8319999999999943, 16.115080033218778, 0.8037472057696404 
0.8329999999999942, 16.13727174784077, 0.8198754011248922 
0.8339999999999941, 16.158230478204242, 0.8360251074445311 
0.834999999999994, 16.178002343298616, 0.8521951168243779 
0.8359999999999939, 16.196635678799154, 0.8683842687829926 
0.8369999999999937, 16.214180121478034, 0.8845914519616971 
0.8379999999999936, 16.230685845726065, 0.9008156049938927 
0.8389999999999935, 16.24620293649436, 0.9170557166872084 
0.8399999999999934, 16.26078088280306, 0.9333108256461746 
0.8409999999999933, 16.274468176413315, 0.9495800194474573 
0.8419999999999932, 16.28731200112293, 0.965862433464751 
0.8429999999999931, 16.299357999270313, 0.9821572494264704 
0.843999999999993, 16.310650103294495, 0.9984636937766688 
0.8449999999999929, 16.321230421511387, 1.0147810358981668 
0.8459999999999928, 16.331139168564622, 1.0311085862467577 
0.8469999999999926, 16.34041463224871, 1.047445694436505 
0.8479999999999925, 16.34909316955555, 1.0637917473084768 
0.8489999999999924, 16.357209225847487, 1.0801461670087111 
0.8499999999999923, 16.364795372003645, 1.0965084090956283 
0.8509999999999922, 16.371882355221704, 1.1128779606924282 
0.8519999999999921, 16.37849915988801, 1.1292543386960991 
0.852999999999992, 16.384673075562198, 1.1456370880514297 
0.8539999999999919, 16.390429769665833, 1.1620257800957783 
0.8549999999999918, 16.395793362927694, 1.1784200109781926 
0.8559999999999917, 16.400786506029576, 1.1948194001547507 
0.8569999999999915, 16.40543045622508, 1.2112235889606315 
0.8579999999999914, 16.409745152977784, 1.2276322392583323 
0.8589999999999913, 16.413749291891953, 1.2440450321606424 
0.8599999999999912, 16.417460396395768, 1.2604616668263524 
0.8609999999999911, 16.42089488678922, 1.2768818593262272 
0.861999999999991, 16.424068146392536, 1.2933053415764546 
0.8629999999999909, 16.426994584630158, 1.3097318603365695 
0.8639999999999908, 16.429687696964347, 1.3261611762687335 
0.8649999999999907, 16.43216012165476, 1.342593063055211 
0.8659999999999906, 16.43442369336859, 1.3590273065708656 
0.8669999999999904, 16.436489493702783, 1.3754637041075688 
0.8679999999999903, 16.43836789870745, 1.3919020636474748 
0.8689999999999902, 16.440068623519547, 1.4083422031822206 
0.8699999999999901, 16.44160076422985, 1.424783950075231 
0.87099999999999, 16.442972837115253, 1.4412271404644328 
0.8719999999999899, 16.4441928153734, 1.4576716187028147 
0.8729999999999898, 16.445268163498877, 1.474117236834422 
0.8739999999999897, 16.44620586943976, 1.4905638541034878 
0.8749999999999896, 16.447012474671062, 1.5070113364945734 
