Unit:(mV)
                     CH1         CH2
Frequency              ?           ?
00234            -128.00    -1800.00
00235            -132.00    -1680.00
00236            -132.00    -1440.00
00237            -128.00    -1120.00
00238            -132.00     -760.00
00239            -128.00     -480.00
00240            -108.00     -400.00
00241             -80.00     -360.00
00242             -48.00     -360.00
00243             -28.00     -360.00
00244             -32.00     -400.00
00245             -32.00     -400.00
00246             -24.00     -360.00
00247             -28.00     -320.00
00248             -32.00     -280.00
00249             -32.00     -320.00
00250             -32.00     -400.00
00251             -32.00     -280.00
00252             -52.00     -280.00
00253             -88.00     -280.00
00254            -120.00     -280.00
00255            -140.00     -320.00
00256            -144.00     -280.00
00257            -140.00     -360.00
00258            -136.00     -520.00
00259            -132.00     -720.00
00260            -136.00     -880.00
00261            -136.00    -1040.00
00262            -132.00    -1080.00
00263            -132.00    -1080.00
00264            -132.00    -1080.00
00265            -124.00    -1080.00
00266            -100.00    -1080.00
00267             -68.00    -1120.00
00268             -36.00    -1080.00
00269             -32.00    -1080.00
00270             -32.00    -1120.00
00271             -32.00    -1120.00
00272             -28.00    -1120.00
00273             -32.00    -1120.00
00274             -32.00    -1120.00
00275             -32.00    -1120.00
00276             -36.00    -1120.00
00277             -36.00    -1160.00
00278             -40.00    -1120.00
00279             -68.00    -1160.00
00280             -80.00    -1080.00
00281             -92.00     -960.00
00282             -92.00     -800.00
00283             -92.00     -640.00
00284             -92.00     -480.00
00285             -92.00     -320.00
00286             -88.00     -280.00
00287             -84.00     -280.00
00288             -88.00     -280.00
00289             -88.00     -280.00
00290             -84.00     -320.00
00291             -84.00     -320.00
00292             -80.00     -280.00
00293             -68.00     -280.00
00294             -64.00     -320.00
00295             -44.00     -320.00
00296             -28.00     -280.00
00297             -32.00     -280.00
00298             -28.00     -280.00
00299             -28.00     -280.00
00300             -32.00     -320.00
00301             -32.00     -280.00
00302             -28.00     -560.00
00303             -32.00     -960.00
00304             -32.00    -1320.00
00305             -32.00    -1640.00
00306             -48.00    -1840.00
00307             -68.00    -1920.00
00308             -96.00    -1920.00
00309            -116.00    -1960.00
00310            -128.00    -1960.00
00311            -128.00    -1960.00
00312            -124.00    -1960.00
00313            -128.00    -1920.00
00314            -128.00    -1920.00
00315            -128.00    -1960.00
00316            -128.00    -2000.00
00317            -124.00    -1960.00
00318            -124.00    -2000.00
00319            -124.00    -2000.00
00320            -120.00    -2000.00
00321            -100.00    -2000.00
00322             -76.00    -2000.00
00323             -48.00    -2000.00
00324             -32.00    -1920.00
00325             -32.00    -1720.00
00326             -36.00    -1440.00
00327             -32.00    -1080.00
00328             -28.00     -600.00
00329             -36.00     -320.00
00330             -36.00     -400.00
00331             -32.00     -320.00
00332             -28.00     -320.00
00333             -28.00     -280.00
00334             -48.00     -320.00
00335             -80.00     -360.00
00336            -100.00     -320.00
00337            -128.00     -280.00
00338            -132.00     -280.00
00339            -132.00     -280.00
00340            -136.00     -280.00
00341            -132.00     -280.00
00342            -136.00     -280.00
00343            -136.00     -240.00
00344            -136.00     -280.00
00345            -136.00     -440.00
00346            -136.00     -720.00
00347            -136.00    -1040.00
00348            -132.00    -1320.00
00349            -112.00    -1560.00
00350             -92.00    -1680.00
00351             -56.00    -1720.00
00352             -28.00    -1680.00
00353             -32.00    -1720.00
00354             -36.00    -1720.00
00355             -36.00    -1760.00
00356             -32.00    -1760.00
00357             -32.00    -1760.00
00358             -32.00    -1760.00
00359             -32.00    -1760.00
00360             -36.00    -1840.00
00361             -36.00    -1840.00
00362             -52.00    -1760.00
