t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0,0,-2,0.0,0,0,0.0,0.0005,100000,0.0015738826330228774,0.0015738826330228774,-0.9810000000000001
0,0,-2,0.0,0,0,0.0,0.0005,100000,0.0015738826330228774,0.0015738826330228774,-0.9810000000000001
5e-06,-1e-05,-2.0,0.0,0.0,0.0,0.0,0.00049998423,100004.41576712758,0.0015769761305791995,0.0015738826330228774,-0.9810000000000001
1e-05,-2e-05,-2.0,0.069772461851,0.0,0.0,0.069498991936,0.000499968429,100008.84054984918,0.001580075666022355,0.0015738826330228774,-0.9740501008064002
1.5e-05,-3e-05,-1.999999651138,0.139961927457,0.0,3.47495e-07,0.13913987874,0.000499952597,100013.2743501761,0.0015831812482749816,0.0015738826330228774,-0.9670860121260001
2e-05,-3.9999998e-05,-1.999998951328,0.210570072459,2e-12,1.043194e-06,0.208922691986,0.000499936734,100017.71717012406,0.001586292885645108,0.001573882632404781,-0.9601077308014001
2.5e-05,-4.9999993e-05,-1.999997898478,0.281598577625,7e-12,2.087807e-06,0.278847463262,0.00049992084,100022.16901171305,0.001589410586756306,0.0015738826308595404,-0.9531152536738001
3e-05,-5.9999982e-05,-1.999996490485,0.353049128717,1.7e-11,3.482044e-06,0.3489142241,0.000499904915,100026.62987696734,0.0015925343596126735,0.0015738826277690587,-0.9461085775900001
3.5e-05,-6.9999964e-05,-1.999994725239,0.424923416693,3.4e-11,5.226615e-06,0.419123005986,0.000499888958,100031.10004806494,0.0015956642128459014,0.00157388262251524,-0.9390876994014001
4e-05,-7.9999938e-05,-1.999992600622,0.497227616696,6e-11,7.32223e-06,0.489478249589,0.00049987297,100035.57924693238,0.0015988001550935474,0.001573882614479988,-0.9320521750411
4.5e-05,-8.9999901e-05,-1.999990114484,0.569958969049,9.7e-11,9.769621e-06,0.559975577763,0.000499856951,100040.06747560711,0.0016019421943700104,0.0015738826030452062,-0.9250024422237001
5e-05,-9.9999852e-05,-1.999987264689,0.643119180179,1.46e-10,1.2569499e-05,0.630615021992,0.0004998409,100044.56501634477,0.0016050903393208965,0.001573882587901847,-0.9179384978008001
5.5e-05,-0.000109999788,-1.999984049093,0.716714467948,2.09e-10,1.5722574e-05,0.701401023869,0.000499824818,100049.07159102066,0.001608244597966184,0.0015738825684318135,-0.9108598976131002
