t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0,0,-2,0.0,0,0,0.0,0.0005,100000,0.0015738826330228774,0.0015738826330228774,-0.9810000000000001
0,0,-2,0.0,0,0,0.0,0.0005,100000,0.0015738826330228774,0.0015738826330228774,-0.9810000000000001
5e-06,-1e-05,-2.0,0.0,0.0,0.0,0.0,0.00049998423,100004.41576712758,0.0015769761305791995,0.0015738826330228774,-0.9810000000000001
1e-05,-2e-05,-2.0,0.034886230926,0.0,0.0,0.069498991936,0.000499968429,100008.84054984918,0.001580075666022355,0.0015738826330228774,-0.9740501008064002
1.5e-05,-3e-05,-1.999999825569,0.069980963728,0.0,3.47495e-07,0.13913987874,0.000499952597,100013.2743501761,0.0015831812482749816,0.0015738826330228774,-0.9670860121260001
2e-05,-3.9999999e-05,-1.999999475664,0.10528503625,2e-12,1.043194e-06,0.208922691986,0.000499936734,100017.71717012406,0.0015862928859565748,0.001573882632404781,-0.9601077308014001
2.5e-05,-4.9999996e-05,-1.999998949239,0.140799288896,7e-12,2.087807e-06,0.278847463262,0.00049992084,100022.16901171305,0.0015894105876925275,0.0015738826308595404,-0.9531152536738001
3e-05,-5.9999991e-05,-1.999998245243,0.17652456467,1.7e-11,3.482044e-06,0.3489142241,0.000499904915,100026.62987696734,0.0015925343624268078,0.0015738826277690587,-0.9461085775900001
3.5e-05,-6.9999982e-05,-1.99999736262,0.212461709097,3.4e-11,5.226615e-06,0.419123005986,0.000499888958,100031.10004806494,0.001595664218485127,0.00157388262251524,-0.9390876994014001
4e-05,-7.9999969e-05,-1.999996300311,0.248613809861,6e-11,7.32223e-06,0.489478249589,0.00049987297,100035.57924693238,0.001598800164824445,0.001573882614479988,-0.9320521750411
4.5e-05,-8.9999951e-05,-1.999995057242,0.284979487322,9.7e-11,9.769621e-06,0.559975577763,0.000499856951,100040.06747560711,0.0016019422100955311,0.0015738826030452062,-0.9250024422237001
5e-05,-9.9999926e-05,-1.999993632345,0.321559594761,1.46e-10,1.2569499e-05,0.630615021992,0.0004998409,100044.56501634477,0.0016050903626399107,0.001573882587901847,-0.9179384978008001
5.5e-05,-0.000109999894,-1.999992024547,0.358357241431,2.09e-10,1.5722574e-05,0.701401023869,0.000499824818,100049.07159102066,0.0016082446314339995,0.0015738825684318135,-0.9108598976131002
