t, peaks/s 
0,5
0.1,4
0.2,4
0.3,5
0.4,4
0.5,5
0.6,4
0.7,5
0.8,4
0.9,5
1.0,4
1.1,4
1.2,5
1.3,4
1.4,5
1.5,4
1.6,5
1.7,4
1.8,5
1.9,4
2.0,4
2.1,5
2.2,4
2.3,5
2.4,4
2.5,5
2.6,4
2.7,5
2.8,4
2.9,5
3.0,5
3.1,4
3.2,5
3.3,4
3.4,5
3.5,4
3.6,5
3.7,4
3.8,5
3.9,4
4.0,4
4.1,5
4.2,4
4.3,5
4.4,4
4.5,5
4.6,4
4.7,5
4.8,4
4.9,4
5.0,5
5.1,4
5.2,5
5.3,4
5.4,5
5.5,4
5.6,5
5.7,4
5.8,4
5.9,5
6.0,4
6.1,5
6.2,4
6.3,5
6.4,4
6.5,5
6.6,4
6.7,4
6.8,5
6.9,4
7.0,5
7.1,4
7.2,5
7.3,4
7.4,5
7.5,4
7.6,4
7.7,5
7.8,4
7.9,5
8.0,4
8.1,5
8.2,4
8.3,5
8.4,4
8.5,4
8.6,5
8.7,4
8.8,5
8.9,4
9.0,5
9.1,4
9.2,5
9.3,4
9.4,5
9.5,5
9.6,4
9.7,5
9.8,4
9.9,5
10.0,4
10.1,5
10.2,4
10.3,5
10.4,4
10.5,4
10.6,5
10.7,4
10.8,5
10.9,4
11.0,5
11.1,4
11.2,5
11.3,4
11.4,5
11.5,5
11.6,4
11.7,5
11.8,4
11.9,5
12.0,4
12.1,5
12.2,4
12.3,5
12.4,4
12.5,4
12.6,5
12.7,4
12.8,5
12.9,4
13.0,5
13.1,4
13.2,4
13.3,4
13.4,4
13.5,5
13.6,4
13.7,5
13.8,4
13.9,5
14.0,4
14.1,4
14.2,5
14.3,4
14.4,5
14.5,4
14.6,5
14.7,4
14.8,5
14.9,4
15.0,4
15.1,5
15.2,4
15.3,5
15.4,4
15.5,5
15.6,4
15.7,5
15.8,4
15.9,4
16.0,5
16.1,4
16.2,5
16.3,4
16.4,5
16.5,4
16.6,5
16.7,4
16.8,5
16.9,5
17.0,5
17.1,5
17.2,4
17.3,5
17.4,4
17.5,5
17.6,4
17.7,5
17.8,4
17.9,5
18.0,4
18.1,5
18.2,5
18.3,5
18.4,5
18.5,4
18.6,5
18.7,4
18.8,5
18.9,4
19.0,5
19.1,4
19.2,5
19.3,4
19.4,5
19.5,5
19.6,5
19.7,5
19.8,5
19.9,5
20.0,4
20.1,5
20.2,4
20.3,5
20.4,4
20.5,5
20.6,4
20.7,5
20.8,4
20.9,5
21.0,5
21.1,5
21.2,5
21.3,5
21.4,5
21.5,4
21.6,5
21.7,4
21.8,5
21.9,4
22.0,5
22.1,4
22.2,5
22.3,4
22.4,5
22.5,5
22.6,5
22.7,5
22.8,5
22.9,5
23.0,4
23.1,5
23.2,4
23.3,5
23.4,4
23.5,5
23.6,4
23.7,5
23.8,4
23.9,5
24.0,5
24.1,4
24.2,5
24.3,4
24.4,5
24.5,4
24.6,5
24.7,4
24.8,5
24.9,4
25.0,5
25.1,5
25.2,4
25.3,5
25.4,4
25.5,5
25.6,4
25.7,5
25.8,4
25.9,5
26.0,4
26.1,5
26.2,5
26.3,5
26.4,5
26.5,5
26.6,5
26.7,4
26.8,5
26.9,4
27.0,5
27.1,4
27.2,5
27.3,4
27.4,5
27.5,4
27.6,5
27.7,5
27.8,5
27.9,5
28.0,5
28.1,5
28.2,4
28.3,5
28.4,4
28.5,5
28.6,4
28.7,5
28.8,4
28.9,5
29.0,4
29.1,5
29.2,5
29.3,5
29.4,5
29.5,5
29.6,5
29.7,5
29.8,5
29.9,5
30.0,5
30.1,4
30.2,5
30.3,4
30.4,5
30.5,4
30.6,5
30.7,4
30.8,5
30.9,4
31.0,5
31.1,5
31.2,5
31.3,5
31.4,5
31.5,5
31.6,5
31.7,5
31.8,5
31.9,5
32.0,4
32.1,5
32.2,4
32.3,5
32.4,4
32.5,5
32.6,4
32.7,5
32.8,4
32.9,5
33.0,5
33.1,5
33.2,5
33.3,5
33.4,5
33.5,5
33.6,5
33.7,5
33.8,5
33.9,5
34.0,5
34.1,5
34.2,5
34.3,4
34.4,5
34.5,4
34.6,5
34.7,4
34.8,5
34.9,4
35.0,5
35.1,4
35.2,5
35.3,5
35.4,5
35.5,5
35.6,5
35.7,5
35.8,5
35.9,5
36.0,5
36.1,5
36.2,5
36.3,5
36.4,5
36.5,5
36.6,5
36.7,5
36.8,5
36.9,5
37.0,4
37.1,5
37.2,4
37.3,5
37.4,4
37.5,5
37.6,4
37.7,5
37.8,4
37.9,5
38.0,5
38.1,5
38.2,5
38.3,5
38.4,5
38.5,5
38.6,5
38.7,5
38.8,5
38.9,5
39.0,5
39.1,5
39.2,5
39.3,4
39.4,5
39.5,4
39.6,5
