t, peaks/s 
0,9
0.1,9
0.2,8
0.3,8
0.4,8
0.5,9
0.6,9
0.7,9
0.8,8
0.9,8
1.0,8
1.1,8
1.2,9
1.3,9
1.4,8
1.5,8
1.6,8
1.7,8
1.8,9
1.9,9
2.0,9
2.1,8
2.2,8
2.3,8
2.4,9
2.5,9
2.6,9
2.7,8
2.8,8
2.9,8
3.0,8
3.1,9
3.2,9
3.3,8
3.4,8
3.5,8
3.6,8
3.7,9
3.8,9
3.9,8
4.0,8
4.1,8
4.2,8
4.3,9
4.4,9
4.5,9
4.6,8
4.7,8
4.8,8
4.9,9
5.0,9
5.1,9
5.2,8
5.3,8
5.4,8
5.5,8
5.6,9
5.7,9
5.8,8
5.9,8
6.0,8
6.1,8
6.2,9
6.3,9
6.4,8
6.5,8
6.6,8
6.7,8
6.8,9
6.9,9
7.0,9
7.1,8
7.2,8
7.3,8
7.4,9
7.5,9
7.6,9
7.7,8
7.8,8
7.9,8
8.0,8
8.1,9
8.2,9
8.3,8
8.4,8
8.5,8
8.6,8
8.7,9
8.8,9
8.9,9
9.0,8
9.1,8
9.2,8
9.3,9
9.4,9
9.5,8
9.6,8
9.7,8
9.8,8
9.9,8
10.0,9
10.1,9
10.2,8
10.3,8
10.4,8
10.5,9
10.6,9
10.7,9
10.8,8
10.9,8
11.0,8
11.1,8
11.2,9
11.3,9
11.4,8
11.5,8
11.6,8
11.7,8
11.8,9
11.9,9
12.0,8
12.1,8
12.2,8
12.3,8
12.4,9
12.5,9
12.6,9
12.7,8
12.8,8
12.9,8
13.0,9
13.1,9
13.2,9
13.3,8
13.4,8
13.5,8
13.6,8
13.7,9
13.8,9
13.9,8
14.0,8
14.1,8
14.2,8
14.3,9
14.4,9
14.5,9
14.6,8
14.7,8
14.8,8
14.9,9
15.0,9
15.1,8
15.2,8
15.3,8
15.4,8
15.5,8
15.6,9
15.7,8
15.8,8
15.9,8
16.0,8
16.1,9
16.2,9
16.3,8
16.4,8
16.5,8
16.6,8
16.7,9
16.8,9
16.9,8
17.0,8
17.1,8
17.2,8
17.3,9
17.4,9
17.5,8
17.6,8
17.7,8
17.8,8
17.9,9
18.0,9
18.1,8
18.2,8
18.3,8
18.4,8
18.5,9
18.6,9
18.7,8
18.8,8
18.9,8
19.0,8
19.1,9
19.2,9
19.3,9
19.4,8
19.5,8
19.6,8
19.7,9
19.8,9
19.9,9
20.0,8
20.1,8
20.2,8
20.3,8
20.4,9
20.5,9
20.6,8
20.7,8
20.8,8
20.9,8
21.0,9
21.1,9
21.2,9
21.3,8
21.4,8
21.5,8
21.6,9
21.7,9
21.8,9
21.9,8
22.0,8
22.1,8
22.2,8
22.3,9
22.4,9
22.5,8
22.6,8
22.7,8
22.8,8
22.9,9
23.0,9
23.1,8
23.2,8
23.3,8
23.4,8
23.5,9
23.6,9
23.7,8
23.8,8
23.9,8
24.0,8
24.1,9
24.2,9
24.3,8
24.4,8
24.5,8
24.6,8
24.7,9
24.8,9
24.9,8
25.0,8
25.1,8
25.2,8
25.3,9
25.4,9
25.5,9
25.6,8
25.7,8
25.8,8
25.9,9
26.0,9
26.1,9
26.2,8
26.3,8
26.4,8
26.5,8
26.6,9
26.7,9
26.8,9
26.9,8
27.0,8
27.1,8
27.2,9
27.3,9
27.4,9
27.5,8
27.6,8
27.7,8
27.8,8
27.9,9
28.0,9
28.1,9
28.2,8
28.3,8
28.4,8
28.5,9
28.6,9
28.7,9
28.8,9
28.9,8
29.0,8
29.1,8
29.2,9
29.3,9
29.4,9
29.5,8
29.6,8
29.7,8
29.8,8
29.9,9
30.0,9
30.1,8
30.2,8
30.3,8
30.4,8
30.5,9
30.6,9
30.7,8
30.8,8
30.9,8
31.0,8
31.1,9
31.2,9
31.3,8
31.4,8
31.5,8
31.6,8
31.7,9
31.8,9
31.9,8
32.0,8
32.1,8
32.2,8
32.3,9
32.4,9
32.5,8
32.6,8
32.7,8
32.8,8
32.9,9
33.0,9
33.1,9
33.2,8
33.3,8
33.4,8
33.5,9
33.6,9
33.7,9
33.8,8
33.9,8
34.0,8
34.1,8
34.2,9
34.3,9
34.4,9
34.5,8
34.6,8
34.7,8
34.8,9
34.9,9
35.0,9
35.1,8
35.2,8
35.3,8
35.4,8
35.5,9
35.6,9
35.7,9
35.8,8
35.9,8
36.0,8
36.1,9
36.2,9
36.3,9
36.4,8
36.5,8
36.6,8
36.7,8
36.8,9
36.9,9
37.0,8
37.1,8
37.2,8
37.3,8
37.4,9
37.5,9
37.6,9
37.7,8
37.8,8
37.9,8
38.0,9
38.1,9
38.2,9
38.3,8
38.4,8
38.5,8
38.6,8
38.7,9
38.8,9
38.9,8
39.0,8
39.1,8
39.2,8
39.3,9
39.4,9
