t, peaks/s 
0,3
0.1,2
0.2,3
0.3,3
0.4,2
0.5,3
0.6,3
0.7,3
0.8,2
0.9,3
1.0,3
1.1,3
1.2,2
1.3,2
1.4,3
1.5,2
1.6,2
1.7,2
1.8,3
1.9,2
2.0,2
2.1,2
2.2,3
2.3,3
2.4,2
2.5,2
2.6,3
2.7,3
2.8,2
2.9,2
3.0,3
3.1,3
3.2,2
3.3,2
3.4,3
3.5,3
3.6,2
3.7,2
3.8,3
3.9,3
4.0,2
4.1,2
4.2,3
4.3,3
4.4,2
4.5,2
4.6,3
4.7,3
4.8,2
4.9,2
5.0,3
5.1,3
5.2,2
5.3,2
5.4,3
5.5,3
5.6,2
5.7,2
5.8,3
5.9,3
6.0,2
6.1,2
6.2,3
6.3,3
6.4,2
6.5,2
6.6,3
6.7,3
6.8,2
6.9,2
7.0,3
7.1,3
7.2,2
7.3,2
7.4,3
7.5,3
7.6,2
7.7,2
7.8,3
7.9,3
8.0,2
8.1,2
8.2,3
8.3,3
8.4,2
8.5,2
8.6,3
8.7,3
8.8,2
8.9,2
9.0,3
9.1,3
9.2,2
9.3,2
9.4,3
9.5,3
9.6,2
9.7,2
9.8,3
9.9,3
10.0,2
10.1,2
10.2,3
10.3,3
10.4,2
10.5,2
10.6,3
10.7,3
10.8,2
10.9,2
11.0,3
11.1,3
11.2,2
11.3,2
11.4,3
11.5,3
11.6,2
11.7,2
11.8,3
11.9,3
12.0,2
12.1,2
12.2,3
12.3,3
12.4,2
12.5,2
12.6,3
12.7,3
12.8,2
12.9,2
13.0,3
13.1,3
13.2,2
13.3,2
13.4,3
13.5,3
13.6,2
13.7,2
13.8,3
13.9,3
14.0,2
14.1,2
14.2,3
14.3,3
14.4,2
14.5,2
14.6,3
14.7,3
14.8,2
14.9,2
15.0,3
15.1,3
15.2,2
15.3,3
15.4,3
15.5,3
15.6,2
15.7,3
15.8,3
15.9,3
16.0,2
16.1,3
16.2,3
16.3,2
16.4,2
16.5,3
16.6,3
16.7,2
16.8,2
16.9,3
17.0,3
17.1,2
17.2,2
17.3,3
17.4,3
17.5,2
17.6,2
17.7,3
17.8,3
17.9,2
18.0,2
18.1,3
18.2,3
18.3,2
18.4,2
18.5,3
18.6,3
18.7,2
18.8,2
18.9,3
19.0,3
19.1,2
19.2,2
19.3,3
19.4,3
19.5,2
19.6,2
19.7,3
19.8,3
19.9,2
20.0,2
20.1,3
20.2,3
20.3,2
20.4,3
20.5,3
20.6,3
20.7,2
20.8,3
20.9,3
21.0,3
21.1,2
21.2,3
21.3,3
21.4,2
21.5,2
21.6,3
21.7,3
21.8,2
21.9,2
22.0,3
22.1,3
22.2,2
22.3,2
22.4,3
22.5,3
22.6,2
22.7,2
22.8,3
22.9,3
23.0,2
23.1,2
23.2,3
23.3,3
23.4,2
23.5,2
23.6,3
23.7,3
23.8,2
23.9,2
24.0,3
24.1,3
24.2,2
24.3,2
24.4,3
24.5,3
24.6,2
24.7,2
24.8,3
24.9,3
25.0,2
25.1,2
25.2,3
25.3,3
25.4,2
25.5,3
25.6,3
25.7,3
25.8,2
25.9,3
26.0,3
26.1,3
26.2,2
26.3,3
26.4,3
26.5,2
26.6,2
26.7,3
26.8,3
26.9,2
27.0,2
27.1,3
27.2,3
27.3,2
27.4,2
27.5,3
27.6,3
27.7,2
27.8,2
27.9,3
28.0,3
28.1,2
28.2,2
28.3,3
28.4,3
28.5,2
28.6,2
28.7,3
28.8,3
28.9,2
29.0,2
29.1,3
29.2,3
29.3,2
29.4,2
29.5,3
29.6,3
29.7,2
29.8,2
29.9,3
30.0,3
30.1,2
30.2,3
30.3,3
30.4,3
30.5,2
30.6,3
30.7,3
30.8,3
30.9,2
31.0,3
31.1,3
31.2,2
31.3,2
31.4,3
31.5,3
31.6,2
31.7,2
31.8,3
31.9,3
32.0,2
32.1,2
32.2,3
32.3,3
32.4,2
32.5,2
32.6,3
32.7,3
32.8,2
32.9,2
33.0,3
33.1,3
33.2,2
33.3,2
33.4,3
33.5,3
33.6,2
33.7,2
33.8,3
33.9,3
34.0,2
34.1,2
34.2,3
34.3,3
34.4,2
34.5,2
34.6,3
34.7,3
34.8,2
34.9,2
35.0,3
35.1,3
35.2,2
35.3,2
35.4,3
35.5,3
35.6,2
35.7,2
35.8,3
35.9,3
36.0,2
36.1,3
36.2,3
36.3,3
36.4,2
36.5,3
36.6,3
36.7,3
36.8,2
36.9,3
37.0,3
37.1,2
37.2,2
37.3,3
37.4,3
37.5,2
37.6,2
37.7,3
37.8,3
37.9,2
38.0,2
38.1,3
38.2,3
38.3,2
38.4,2
38.5,3
38.6,3
38.7,2
38.8,2
38.9,3
39.0,3
39.1,2
39.2,2
39.3,3
