t, peaks/s 
0,2
0.1,1
0.2,1
0.3,2
0.4,2
0.5,2
0.6,1
0.7,1
0.8,1
0.9,1
1.0,2
1.1,2
1.2,2
1.3,1
1.4,1
1.5,1
1.6,2
1.7,2
1.8,2
1.9,2
2.0,1
2.1,1
2.2,2
2.3,2
2.4,2
2.5,2
2.6,1
2.7,1
2.8,1
2.9,2
3.0,2
3.1,2
3.2,1
3.3,1
3.4,1
3.5,2
3.6,2
3.7,2
3.8,2
3.9,1
4.0,1
4.1,1
4.2,2
4.3,2
4.4,2
4.5,1
4.6,1
4.7,1
4.8,2
4.9,2
5.0,2
5.1,2
5.2,1
5.3,1
5.4,1
5.5,2
5.6,2
5.7,2
5.8,1
5.9,1
6.0,1
6.1,2
6.2,2
6.3,2
6.4,2
6.5,1
6.6,1
6.7,1
6.8,2
6.9,2
7.0,2
7.1,1
7.2,1
7.3,1
7.4,2
7.5,2
7.6,2
7.7,2
7.8,1
7.9,1
8.0,1
8.1,2
8.2,2
8.3,2
8.4,1
8.5,1
8.6,1
8.7,2
8.8,2
8.9,2
9.0,2
9.1,1
9.2,1
9.3,1
9.4,2
9.5,2
9.6,2
9.7,1
9.8,1
9.9,1
10.0,2
10.1,2
10.2,2
10.3,2
10.4,1
10.5,1
10.6,1
10.7,2
10.8,2
10.9,2
11.0,1
11.1,1
11.2,1
11.3,2
11.4,2
11.5,2
11.6,2
11.7,1
11.8,1
11.9,1
12.0,2
12.1,2
12.2,2
12.3,1
12.4,1
12.5,1
12.6,1
12.7,2
12.8,2
12.9,2
13.0,1
13.1,1
13.2,1
13.3,2
13.4,2
13.5,2
13.6,2
13.7,1
13.8,1
13.9,1
14.0,2
14.1,2
14.2,2
14.3,1
14.4,1
14.5,1
14.6,2
14.7,2
14.8,2
14.9,2
15.0,1
15.1,1
15.2,1
15.3,2
15.4,2
15.5,2
15.6,1
15.7,1
15.8,1
15.9,2
16.0,2
16.1,2
16.2,2
16.3,1
16.4,1
16.5,1
16.6,2
16.7,2
16.8,2
16.9,1
17.0,1
17.1,1
17.2,1
17.3,2
17.4,2
17.5,2
17.6,1
17.7,1
17.8,1
17.9,2
18.0,2
18.1,2
18.2,2
18.3,1
18.4,1
18.5,1
18.6,2
18.7,2
18.8,2
18.9,1
19.0,1
19.1,1
19.2,2
19.3,2
19.4,2
19.5,2
19.6,1
19.7,1
19.8,1
19.9,2
20.0,2
20.1,2
20.2,1
20.3,1
20.4,1
20.5,1
20.6,2
20.7,2
20.8,2
20.9,1
21.0,1
21.1,1
21.2,2
21.3,2
21.4,2
21.5,2
21.6,1
21.7,1
21.8,1
21.9,2
22.0,2
22.1,2
22.2,1
22.3,1
22.4,1
22.5,2
22.6,2
22.7,2
22.8,2
22.9,1
23.0,1
23.1,1
23.2,2
23.3,2
23.4,2
23.5,1
23.6,1
23.7,1
23.8,1
23.9,2
24.0,2
24.1,2
24.2,1
24.3,1
24.4,1
24.5,2
24.6,2
24.7,2
24.8,2
24.9,1
25.0,1
25.1,1
25.2,2
25.3,2
25.4,2
25.5,1
25.6,1
25.7,1
25.8,1
25.9,2
26.0,2
26.1,2
26.2,1
26.3,1
26.4,1
26.5,2
26.6,2
26.7,2
26.8,2
26.9,1
27.0,1
27.1,1
27.2,2
27.3,2
27.4,2
27.5,1
27.6,1
27.7,1
27.8,1
27.9,2
28.0,2
28.1,2
28.2,1
28.3,1
28.4,1
28.5,2
28.6,2
28.7,2
28.8,2
28.9,1
29.0,1
29.1,1
29.2,2
29.3,2
29.4,2
29.5,1
29.6,1
29.7,1
29.8,1
29.9,2
30.0,2
30.1,2
30.2,1
30.3,1
30.4,1
30.5,2
30.6,2
30.7,2
30.8,2
30.9,1
31.0,1
31.1,1
31.2,2
31.3,2
31.4,2
31.5,1
31.6,1
31.7,1
31.8,1
31.9,2
32.0,2
32.1,2
32.2,1
32.3,1
32.4,1
32.5,2
32.6,2
32.7,2
32.8,2
32.9,1
33.0,1
33.1,1
33.2,2
33.3,2
33.4,2
33.5,1
33.6,1
33.7,1
33.8,1
33.9,2
34.0,2
34.1,2
34.2,1
34.3,1
34.4,1
34.5,1
34.6,2
34.7,2
34.8,2
34.9,1
35.0,1
35.1,1
35.2,2
35.3,2
35.4,2
35.5,2
35.6,1
35.7,1
35.8,1
35.9,2
36.0,2
36.1,2
36.2,1
36.3,1
36.4,1
36.5,1
36.6,2
36.7,2
36.8,2
36.9,1
37.0,1
37.1,1
37.2,2
37.3,2
37.4,2
37.5,2
37.6,1
37.7,1
37.8,1
37.9,2
38.0,2
38.1,2
38.2,1
38.3,1
38.4,1
38.5,1
38.6,2
38.7,2
38.8,2
38.9,1
39.0,1
39.1,1
39.2,2
