"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.977429200E-2,-3.393750000E1,3.943125153E1,3.506250143E0,5.214279714E1
4.977429200E-2,-3.418125153E1,3.900000000E1,3.975000143E0,5.201113902E1
5.977429200E-2,-3.421875000E1,3.960000229E1,3.918750048E0,5.248275559E1
6.977429200E-2,-3.390000153E1,3.916875076E1,4.406250000E0,5.198861586E1
7.977429200E-2,-3.388125229E1,3.924375153E1,4.406250000E0,5.203293505E1
8.977429200E-2,-3.416250229E1,3.930000305E1,4.050000191E0,5.222996558E1
9.977429200E-2,-3.386250305E1,3.915000153E1,4.050000191E0,5.192103845E1
1.097742920E-1,-3.388125229E1,3.909375000E1,4.143750191E0,5.189827754E1
1.197742920E-1,-3.367500305E1,3.926250076E1,4.181250095E0,5.189443755E1
1.297742920E-1,-3.363750076E1,3.926250076E1,4.050000191E0,5.185969461E1
1.397742920E-1,-3.358125305E1,3.898125076E1,4.218750000E0,5.162398976E1
1.497742920E-1,-3.367500305E1,3.920625305E1,4.256250381E0,5.185799626E1
1.597742920E-1,-3.373125076E1,3.922500229E1,4.200000286E0,5.190412397E1
1.697742920E-1,-3.346875000E1,3.924375153E1,4.275000095E0,5.175427409E1
1.797742920E-1,-3.388125229E1,3.943125153E1,4.275000095E0,5.216357426E1
1.897742920E-1,-3.380625153E1,3.941250229E1,4.125000000E0,5.208861300E1
1.997742920E-1,-3.391875076E1,3.943125153E1,4.237500191E0,5.218487959E1
2.097742920E-1,-3.378750229E1,3.943125153E1,4.237500191E0,5.209966714E1
2.197742920E-1,-3.382500076E1,3.967500305E1,4.162500381E0,5.230260943E1
2.297742920E-1,-3.390000153E1,3.950625229E1,3.806250095E0,5.219618389E1
2.397742920E-1,-3.406875229E1,3.961875153E1,3.843750238E0,5.239369973E1
2.497742920E-1,-3.401250076E1,3.963750076E1,4.012500286E0,5.238398451E1
2.597742920E-1,-3.388125229E1,3.961875153E1,4.050000191E0,5.228754374E1
2.697742920E-1,-3.393750000E1,3.975000000E1,4.050000191E0,5.242345761E1
2.797742920E-1,-3.406875229E1,3.956250000E1,3.787500143E0,5.234707677E1
2.897742920E-1,-3.423750305E1,3.965625000E1,3.787500143E0,5.252780156E1
2.997742920E-1,-3.401250076E1,3.941250229E1,3.675000191E0,5.218909054E1
3.097742920E-1,-3.395625305E1,3.965625000E1,3.862500191E0,5.235039821E1
3.197742920E-1,-3.384375000E1,3.976875305E1,3.787500143E0,5.235740913E1
3.297742920E-1,-3.384375000E1,3.973125076E1,3.750000238E0,5.232622863E1
3.397742920E-1,-3.367500305E1,3.967500305E1,3.506250143E0,5.215750653E1
3.497742920E-1,-3.360000229E1,3.980625153E1,3.525000095E0,5.221037675E1
3.597742920E-1,-3.354375076E1,3.982500076E1,3.731250048E0,5.220283640E1
3.697742920E-1,-3.339375305E1,3.997500229E1,3.787500143E0,5.222536461E1
3.797742920E-1,-3.345000076E1,4.023750305E1,3.693750143E0,5.245572412E1
3.897742920E-1,-3.335625076E1,4.025625229E1,3.525000095E0,5.239876849E1
3.997742920E-1,-3.330000305E1,4.010625076E1,3.562500238E0,5.225029150E1
4.097742920E-1,-3.331875229E1,4.035000229E1,3.450000048E0,5.244201025E1
4.197742920E-1,-3.322500229E1,4.057500076E1,3.656250238E0,5.256994987E1
4.297742920E-1,-3.320625305E1,4.042500305E1,3.600000143E0,5.243849840E1
4.397742920E-1,-3.330000305E1,4.042500305E1,3.262500048E0,5.247585141E1
4.497742920E-1,-3.328125000E1,4.053750229E1,3.281250238E0,5.255185341E1
4.597742920E-1,-3.322500229E1,4.055625153E1,3.225000143E0,5.252723999E1
4.697742920E-1,-3.326250076E1,4.051875305E1,3.168750048E0,5.251860892E1
4.797742920E-1,-3.326250076E1,4.072500229E1,3.206250191E0,5.268016523E1
4.897742920E-1,-3.305625153E1,4.068750000E1,3.131250143E0,5.251659879E1
4.997742920E-1,-3.296250153E1,4.061250305E1,2.850000143E0,5.238343643E1
5.097742920E-1,-3.298125076E1,4.098750305E1,2.887500048E0,5.268848038E1
5.197742920E-1,-3.305625153E1,4.110000229E1,3.093750238E0,5.283462164E1
5.297742920E-1,-3.294375229E1,4.098750305E1,2.943750143E0,5.266812970E1
5.397742920E-1,-3.286875153E1,4.106250000E1,2.793750048E0,5.267151766E1
5.497742920E-1,-3.296250153E1,4.095000076E1,3.000000000E0,5.265386092E1
5.597742920E-1,-3.251250076E1,4.080000305E1,2.625000000E0,5.223594146E1
5.697742920E-1,-3.262500000E1,4.081875229E1,2.681250095E0,5.232351542E1
5.797742920E-1,-3.281250000E1,4.089375305E1,2.868750095E0,5.250894135E1
5.897742920E-1,-3.281250000E1,4.076250076E1,2.700000048E0,5.239782080E1
5.997742920E-1,-3.260625076E1,4.098750305E1,2.643750191E0,5.244170488E1
6.097742920E-1,-3.251250076E1,4.113750076E1,2.681250095E0,5.250281685E1
6.197742920E-1,-3.249375153E1,4.117500305E1,2.906250000E0,5.253257136E1
6.297742920E-1,-3.230625153E1,4.149375153E1,2.775000095E0,5.266047786E1
6.397742920E-1,-3.243750000E1,4.168125153E1,3.112500191E0,5.290752113E1
6.497742920E-1,-3.241875076E1,4.160625076E1,3.093750238E0,5.283584762E1
6.597742920E-1,-3.228750229E1,4.166250229E1,3.225000143E0,5.280764648E1
6.697742920E-1,-3.228750229E1,4.155000305E1,3.450000048E0,5.273317796E1
6.797742920E-1,-3.200625229E1,4.149375153E1,3.412500143E0,5.251453854E1
6.897742920E-1,-3.219375229E1,4.149375153E1,3.637500048E0,5.264409282E1
6.997742920E-1,-3.219375229E1,4.128750229E1,3.881250143E0,5.249913937E1
7.097742920E-1,-3.215625000E1,4.108125305E1,3.787500143E0,5.230715939E1
7.197742920E-1,-3.208125305E1,4.089375305E1,3.843750238E0,5.211794558E1
7.297742920E-1,-3.206250000E1,4.066875076E1,3.956250191E0,5.193845503E1
7.397742920E-1,-3.210000229E1,4.059375000E1,4.012500286E0,5.190725233E1
7.497742920E-1,-3.230625153E1,4.053750229E1,3.843750238E0,5.197843202E1
7.597742920E-1,-3.255000305E1,4.033125305E1,3.956250191E0,5.197850120E1
7.697742920E-1,-3.256875229E1,4.021875000E1,3.825000048E0,5.189317973E1
7.797742920E-1,-3.273750305E1,4.035000229E1,3.825000048E0,5.210083892E1
7.897742920E-1,-3.286875153E1,4.035000229E1,4.050000191E0,5.220038327E1
7.997742920E-1,-3.307500076E1,4.021875000E1,4.312500000E0,5.225037017E1
8.097742920E-1,-3.331875229E1,4.051875305E1,4.575000286E0,5.265775565E1
8.197742920E-1,-3.339375305E1,4.063125229E1,4.293750286E0,5.276815040E1
8.297742920E-1,-3.313125229E1,4.072500229E1,4.500000000E0,5.269208375E1
8.397742920E-1,-3.337500000E1,4.076250076E1,4.537500381E0,5.287779310E1
8.497742920E-1,-3.361875153E1,4.061250305E1,4.762500286E0,5.293654000E1
8.597742920E-1,-3.375000000E1,4.044375229E1,4.668750286E0,5.288248130E1
8.697742920E-1,-3.403125000E1,4.061250305E1,4.706250191E0,5.319445621E1
8.797742920E-1,-3.450000000E1,4.070625305E1,4.462500095E0,5.354589568E1
8.897742920E-1,-3.472500229E1,4.061250305E1,4.368750095E0,5.361237885E1
8.997742920E-1,-3.510000229E1,4.050000000E1,4.537500381E0,5.378521238E1
9.097742920E-1,-3.583125305E1,4.036875153E1,4.612500191E0,5.417370167E1
9.197742920E-1,-3.596250153E1,4.035000229E1,4.987500191E0,5.427982460E1
9.297742920E-1,-3.628125000E1,4.044375229E1,4.950000286E0,5.455757238E1
9.397742920E-1,-3.678750229E1,4.044375229E1,5.231250286E0,5.492161144E1
9.497742920E-1,-3.688125229E1,4.035000229E1,5.456250191E0,5.493742005E1
9.597742920E-1,-3.686250305E1,4.033125305E1,5.550000191E0,5.492045708E1
9.697742920E-1,-3.727500153E1,4.048125076E1,5.475000381E0,5.530038907E1
9.797742920E-1,-3.757500076E1,4.035000229E1,5.418750286E0,5.540186118E1
9.897742920E-1,-3.768750000E1,4.029375076E1,5.400000095E0,5.543549412E1
9.997742920E-1,-3.815625000E1,4.046250153E1,5.118750095E0,5.585082852E1
1.009774292E0,-3.840000153E1,4.036875153E1,5.118750095E0,5.594995817E1
1.019774292E0,-3.843750000E1,4.050000000E1,4.987500191E0,5.605859938E1
1.029774292E0,-3.875625229E1,4.044375229E1,4.706250191E0,5.621292540E1
1.039774292E0,-3.915000153E1,4.065000153E1,4.706250191E0,5.663297656E1
