"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.331772700E-2,-5.812500000E0,5.465625381E1,2.700000048E0,5.503072994E1
4.331772700E-2,-5.343750000E0,5.473125076E1,2.625000000E0,5.505411973E1
5.331772700E-2,-4.687500000E0,5.463750076E1,1.875000119E0,5.487025398E1
6.331772700E-2,-5.212500095E0,5.401875305E1,1.706250072E0,5.429647436E1
7.331772700E-2,-5.062500000E0,5.390625381E1,1.818750024E0,5.417398784E1
8.331772700E-2,-4.968750000E0,5.379375076E1,1.950000048E0,5.405791892E1
9.331772700E-2,-5.137500286E0,5.375625229E1,1.706250072E0,5.402813951E1
1.033177270E-1,-5.250000000E0,5.394375229E1,1.631250024E0,5.422316744E1
1.133177270E-1,-5.175000191E0,5.396250153E1,1.481250048E0,5.423030794E1
1.233177270E-1,-5.268750191E0,5.403750229E1,1.368750095E0,5.431100127E1
1.333177270E-1,-5.531250000E0,5.394375229E1,1.500000000E0,5.424733300E1
1.433177270E-1,-5.287500381E0,5.405625153E1,1.350000024E0,5.433100854E1
1.533177270E-1,-5.493750095E0,5.420625305E1,1.200000048E0,5.449714818E1
1.633177270E-1,-5.681250095E0,5.437500381E1,1.087500095E0,5.468180958E1
1.733177270E-1,-5.681250095E0,5.454375076E1,1.125000000E0,5.485036896E1
1.833177270E-1,-5.643750191E0,5.441250229E1,9.937500358E-1,5.471343401E1
1.933177270E-1,-5.456250191E0,5.433750153E1,1.143750072E0,5.462273247E1
2.033177270E-1,-5.625000000E0,5.411250305E1,1.068750024E0,5.441457377E1
2.133177270E-1,-5.550000191E0,5.405625153E1,1.312500000E0,5.435626447E1
2.233177270E-1,-5.812500000E0,5.441250229E1,1.368750095E0,5.473919106E1
2.333177270E-1,-5.812500000E0,5.431875229E1,1.443750024E0,5.464793153E1
2.433177270E-1,-5.681250095E0,5.428125381E1,1.500000000E0,5.459836187E1
2.533177270E-1,-5.625000000E0,5.422500229E1,1.706250072E0,5.454266942E1
2.633177270E-1,-5.887500286E0,5.415000153E1,1.725000024E0,5.449643062E1
2.733177270E-1,-6.075000286E0,5.392500305E1,1.406250000E0,5.428433588E1
2.833177270E-1,-5.887500286E0,5.381250381E1,1.687500119E0,5.415991029E1
2.933177270E-1,-5.887500286E0,5.405625153E1,1.237500072E0,5.439000271E1
3.033177270E-1,-5.643750191E0,5.388750076E1,1.293750048E0,5.419767932E1
3.133177270E-1,-5.662500381E0,5.383125305E1,1.406250000E0,5.414651655E1
3.233177270E-1,-5.775000095E0,5.364375305E1,1.275000095E0,5.396877331E1
3.333177270E-1,-5.793750286E0,5.375625229E1,1.162500024E0,5.408006665E1
3.433177270E-1,-5.568750381E0,5.373750305E1,1.312500000E0,5.404121456E1
3.533177270E-1,-5.718750000E0,5.403750229E1,1.481250048E0,5.435945048E1
3.633177270E-1,-5.550000191E0,5.435625076E1,1.331250072E0,5.465507045E1
3.733177270E-1,-5.662500381E0,5.430000305E1,1.575000048E0,5.461716641E1
3.833177270E-1,-5.737500191E0,5.428125381E1,1.462500095E0,5.460322638E1
3.933177270E-1,-5.681250095E0,5.460000229E1,1.406250000E0,5.491278896E1
4.033177270E-1,-5.456250191E0,5.482500076E1,1.331250072E0,5.511191887E1
4.133177270E-1,-5.400000095E0,5.471250153E1,1.256250024E0,5.499269032E1
4.233177270E-1,-5.418750286E0,5.486250305E1,1.218750000E0,5.514292745E1
