"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.751293600E-2,-1.059375000E1,4.985625076E1,-5.625000224E-2,5.096936770E1
4.751293600E-2,-1.035000038E1,4.996875381E1,-6.750000119E-1,5.103385632E1
5.751293600E-2,-9.956250191E0,5.051250076E1,-4.687500298E-1,5.148649704E1
6.751293600E-2,-9.750000000E0,5.043750381E1,-6.375000477E-1,5.137519535E1
7.751293600E-2,-9.600000381E0,5.049375153E1,-7.687500119E-1,5.140398746E1
8.751293600E-2,-9.768750191E0,5.055000305E1,-8.250000477E-1,5.149186260E1
9.751293600E-2,-9.693750381E0,5.038125229E1,-8.437500596E-1,5.131229183E1
1.075129360E-1,-9.731250763E0,5.026875305E1,-8.062500358E-1,5.120834711E1
1.175129360E-1,-9.712500572E0,5.043750381E1,-8.812500238E-1,5.137169513E1
1.275129360E-1,-9.675000191E0,5.056875229E1,-7.500000000E-1,5.149142489E1
1.375129360E-1,-9.750000000E0,5.041875076E1,-6.000000238E-1,5.135633290E1
1.475129360E-1,-9.843750000E0,5.060625076E1,-2.437500060E-1,5.155532411E1
1.575129360E-1,-9.918750763E0,5.058750153E1,-4.312500060E-1,5.155252568E1
1.675129360E-1,-9.843750000E0,5.066250229E1,-3.000000119E-1,5.161083755E1
1.775129360E-1,-1.006875038E1,5.071875381E1,7.500000298E-2,5.170858099E1
1.875129360E-1,-1.014375019E1,5.096250153E1,1.875000000E-1,5.196255754E1
1.975129360E-1,-1.027500057E1,5.090625381E1,5.625000224E-2,5.193289399E1
2.075129360E-1,-1.050000000E1,5.071875381E1,1.687500030E-1,5.179450227E1
2.175129360E-1,-1.057500076E1,5.045625305E1,-1.875000000E-1,5.155287838E1
2.275129360E-1,-1.065000057E1,5.036250305E1,-4.125000238E-1,5.147790188E1
2.375129360E-1,-1.091250038E1,5.053125381E1,1.875000075E-2,5.169613746E1
2.475129360E-1,-1.096875000E1,5.041875076E1,1.125000045E-1,5.159822246E1
2.575129360E-1,-1.076250076E1,5.060625076E1,-9.375000000E-2,5.173811775E1
2.675129360E-1,-1.083750057E1,5.060625076E1,-7.500000298E-2,5.175374054E1
2.775129360E-1,-1.063125038E1,5.086875153E1,2.062500119E-1,5.196822015E1
2.875129360E-1,-1.031250000E1,5.113125229E1,2.062500119E-1,5.216124189E1
2.975129360E-1,-1.046250057E1,5.139375305E1,3.937500119E-1,5.244937378E1
3.075129360E-1,-1.046250057E1,5.148750305E1,5.250000358E-1,5.254238778E1
3.175129360E-1,-1.033125019E1,5.131875229E1,8.062500358E-1,5.235455191E1
3.275129360E-1,-1.046250057E1,5.133750153E1,9.937500358E-1,5.240219957E1
3.375129360E-1,-1.055625057E1,5.107500076E1,1.275000095E0,5.217006569E1
3.475129360E-1,-1.059375000E1,5.090625381E1,1.368750095E0,5.201487954E1
3.575129360E-1,-1.076250076E1,5.056875229E1,1.481250048E0,5.172256986E1
3.675129360E-1,-1.081875038E1,5.055000305E1,1.556250095E0,5.171817942E1
3.775129360E-1,-1.074375057E1,5.043750381E1,1.893750072E0,5.160383955E1
3.875129360E-1,-1.085625076E1,5.019375229E1,1.968750119E0,5.139209012E1
3.975129360E-1,-1.093125057E1,5.008125305E1,1.875000119E0,5.129463687E1
4.075129360E-1,-1.083750057E1,5.026875305E1,1.668750048E0,5.145078890E1
4.175129360E-1,-1.111875057E1,5.036250305E1,1.631250024E0,5.160105914E1
4.275129360E-1,-1.123125076E1,5.040000153E1,1.743750095E0,5.166567344E1
4.375129360E-1,-1.128750038E1,5.038125229E1,1.893750072E0,5.166492559E1
4.475129360E-1,-1.179375076E1,5.002500153E1,2.006250143E0,5.143557499E1
4.575129360E-1,-1.186875057E1,4.993125153E1,2.081250191E0,5.136466413E1
4.675129360E-1,-1.196250057E1,5.004375076E1,2.250000000E0,5.150282430E1
4.775129360E-1,-1.228125095E1,5.000625229E1,2.137500048E0,5.153662095E1
4.875129360E-1,-1.226250076E1,4.966875076E1,2.325000048E0,5.121288268E1
4.975129360E-1,-1.230000019E1,4.942500305E1,2.550000191E0,5.099630803E1
