"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.755560550E-1,5.587500095E0,5.300625229E1,-4.875000119E-1,5.330216314E1
7.855560550E-1,5.906250000E0,5.295000076E1,-4.687500298E-1,5.328044760E1
7.955560550E-1,6.056250095E0,5.302500153E1,-2.250000089E-1,5.337021245E1
8.055560550E-1,6.168750286E0,5.295000076E1,-1.500000060E-1,5.330833482E1
8.155560550E-1,6.243750095E0,5.285625076E1,-2.812500000E-1,5.322449400E1
8.255560550E-1,6.206250191E0,5.263125229E1,-3.187500238E-1,5.299686652E1
8.355560550E-1,6.225000381E0,5.244375229E1,-1.125000045E-1,5.281202931E1
8.455560550E-1,6.075000286E0,5.227500153E1,-1.875000000E-1,5.262714669E1
8.555560550E-1,6.187500477E0,5.201250076E1,-1.125000045E-1,5.237936668E1
8.655560550E-1,6.150000095E0,5.193750381E1,-2.625000179E-1,5.230101060E1
8.755560550E-1,6.075000286E0,5.178750229E1,-4.875000119E-1,5.214488161E1
8.855560550E-1,6.206250191E0,5.161875153E1,-6.187500358E-1,5.199419104E1
8.955560550E-1,6.375000477E0,5.145000076E1,-3.750000000E-1,5.184480528E1
9.055560550E-1,6.468750477E0,5.133750153E1,-3.000000119E-1,5.174431172E1
9.155560550E-1,6.693750381E0,5.118750381E1,-4.875000119E-1,5.162561861E1
9.255560550E-1,6.825000286E0,5.120625305E1,-3.750000000E-1,5.166044527E1
9.355560550E-1,7.012500286E0,5.130000305E1,-4.875000119E-1,5.177936973E1
9.455560550E-1,7.106250286E0,5.124375153E1,-6.562500000E-1,5.173829846E1
9.555560550E-1,7.275000095E0,5.111250305E1,-6.000000238E-1,5.163113009E1
9.655560550E-1,7.200000286E0,5.098125076E1,-6.375000477E-1,5.149110933E1
9.755560550E-1,7.593750477E0,5.092500305E1,-7.125000358E-1,5.149299601E1
9.855560550E-1,7.800000191E0,5.075625229E1,-7.500000000E-1,5.135756662E1
9.955560550E-1,8.193750381E0,5.064375305E1,-7.687500119E-1,5.130807193E1
1.005556055E0,8.700000763E0,5.038125229E1,-9.937500358E-1,5.113656358E1
1.015556055E0,9.225000381E0,5.021250153E1,-1.068750024E0,5.106405946E1
1.025556055E0,9.956250191E0,5.000625229E1,-8.625000119E-1,5.099505949E1
1.035556055E0,1.074375057E1,5.000625229E1,-8.625000119E-1,5.115464154E1
1.045556055E0,1.153125000E1,5.011875153E1,-9.937500358E-1,5.143779272E1
1.055556055E0,1.215000057E1,5.008125305E1,-1.312500000E0,5.155072334E1
1.065556055E0,1.303125095E1,5.011875153E1,-1.387500048E0,5.180374419E1
1.075556055E0,1.378125095E1,5.010000229E1,-1.425000072E0,5.198041682E1
1.085556055E0,1.464375019E1,5.017500305E1,-1.293750048E0,5.228426283E1
1.095556055E0,1.565625095E1,5.030625153E1,-1.368750095E0,5.270399049E1
1.105556055E0,1.636875153E1,5.047500229E1,-1.293750048E0,5.307858016E1
1.115556055E0,1.728750038E1,5.070000076E1,-1.275000095E0,5.358146482E1
1.125556055E0,1.837500000E1,5.081250381E1,-1.237500072E0,5.404704039E1
1.135556055E0,1.931250000E1,5.109375381E1,-1.125000000E0,5.463341432E1
1.145556055E0,2.028750038E1,5.103750229E1,-1.050000072E0,5.493188338E1
1.155556055E0,2.120625114E1,5.120625305E1,-1.256250024E0,5.543792568E1
1.165556055E0,2.227500153E1,5.118750381E1,-1.556250095E0,5.584584276E1
1.175556055E0,2.325000000E1,5.094375229E1,-1.706250072E0,5.602445615E1
1.185556055E0,2.446875191E1,5.053125381E1,-2.231250048E0,5.618812961E1
1.195556055E0,2.546250153E1,5.002500153E1,-2.512500048E0,5.618854348E1
1.205556055E0,2.666250038E1,4.953750229E1,-3.037500143E0,5.633896934E1
1.215556055E0,2.780625153E1,4.861875153E1,-3.431250095E0,5.611367125E1
1.225556055E0,2.911875153E1,4.816875076E1,-4.162500381E0,5.643984984E1
1.235556055E0,3.054375076E1,4.760625076E1,-4.518750191E0,5.674235566E1
1.245556055E0,3.174375153E1,4.702500153E1,-4.987500191E0,5.695517261E1
1.255556055E0,3.315000153E1,4.659375000E1,-5.325000286E0,5.743044287E1
1.265556055E0,3.465000153E1,4.633125305E1,-5.643750191E0,5.812967858E1
1.275556055E0,3.624375153E1,4.586250305E1,-6.318750381E0,5.879545320E1
1.285556055E0,3.787500000E1,4.556250000E1,-6.900000095E0,5.964953506E1
1.295556055E0,3.982500076E1,4.550625229E1,-7.593750477E0,6.094681886E1
1.305556055E0,4.190625000E1,4.524375153E1,-7.893750191E0,6.217267996E1
1.315556055E0,4.425000000E1,4.496250153E1,-8.756250381E0,6.368956715E1
1.325556055E0,4.666875076E1,4.486875153E1,-9.600000381E0,6.544720902E1
1.335556055E0,4.906875229E1,4.456875229E1,-1.053750038E1,6.712045177E1
1.345556055E0,5.178750229E1,4.415625000E1,-1.145625019E1,6.901424111E1
1.355556055E0,5.475000381E1,4.381875229E1,-1.230000019E1,7.119646041E1
1.365556055E0,5.763750076E1,4.359375000E1,-1.273125076E1,7.337970618E1
1.375556055E0,6.069375229E1,4.335000229E1,-1.344375038E1,7.578712747E1
1.385556055E0,6.386250305E1,4.321875000E1,-1.436250019E1,7.843826273E1
1.395556055E0,6.703125000E1,4.306875229E1,-1.486875057E1,8.105051292E1
1.405556055E0,7.050000000E1,4.293750000E1,-1.505625057E1,8.390810204E1
1.415556055E0,7.398750305E1,4.297500229E1,-1.584375095E1,8.701738834E1
1.425556055E0,7.747500610E1,4.290000153E1,-1.650000000E1,9.008349850E1
1.435556055E0,8.107500458E1,4.293750000E1,-1.708125114E1,9.331963574E1
1.445556055E0,8.465625000E1,4.237500000E1,-1.798125076E1,9.636206031E1
1.455556055E0,8.836875153E1,4.215000153E1,-1.869375038E1,9.967504792E1
1.465556055E0,9.165000153E1,4.173750305E1,-1.957500076E1,1.025910454E2
1.475556055E0,9.510000610E1,4.123125076E1,-2.038125038E1,1.056381681E2
1.485556055E0,9.862500763E1,4.044375229E1,-2.137500000E1,1.087174312E2
