t, s[0].ω, s[0].φ 
1, -0.07266709937559955, 2.1028504872724305 
1.001, -0.14534772487604763, 2.102741481525614 
1.0019999999999998, -0.21805197777632845, 2.1025597841792907 
1.0029999999999997, -0.29078990614403594, 2.102305366576332 
1.0039999999999996, -0.36357147840352244, 2.101978190049151 
1.0049999999999994, -0.43640655670569195, 2.101578206012644 
1.0059999999999993, -0.50930487004112, 2.1011053560838797 
1.0069999999999992, -0.5822759870364475, 2.100559572228836 
1.0079999999999991, -0.65532928837685, 2.099940776936515 
1.008999999999999, -0.7284739388008399, 2.099248883420851 
1.009999999999999, -0.801718858617732, 2.098483795850857 
1.0109999999999988, -0.8750726947028217, 2.097645409609509 
1.0119999999999987, -0.9485437909306998, 2.0967336115819157 
1.0129999999999986, -1.0221401580131835, 2.0957482804733485 
1.0139999999999985, -1.095869442715105, 2.0946892871577436 
1.0149999999999983, -1.169738896428684, 2.0935564950573085 
1.0159999999999982, -1.2437553430954253, 2.0923497605538772 
1.0169999999999981, -1.317925146473472, 2.091068933432674 
1.017999999999998, -1.392254176758072, 2.0897138573591327 
1.018999999999998, -1.4667477765733417, 2.0882843703894114 
1.0199999999999978, -1.5414107263647792, 2.0867803055152203 
1.0209999999999977, -1.616247209234019, 2.0852014912435384 
1.0219999999999976, -1.6912607752700903, 2.083547752211752 
1.0229999999999975, -1.7664543054449178, 2.0818189098386854 
1.0239999999999974, -1.8418299751549365, 2.0800147830119253 
1.0249999999999972, -1.917389217505434, 2.0781351888117334 
1.0259999999999971, -1.9931326864494887, 2.076179943271764 
1.026999999999997, -2.0690602199090784, 2.074148862176659 
1.027999999999997, -2.145170803021945, 2.072041761896474 
1.0289999999999968, -2.2214625316740246, 2.069858460257727 
1.0299999999999967, -2.297932576493504, 2.067598777450701 
1.0309999999999966, -2.374577147498703, 2.065262536972441 
1.0319999999999965, -2.4513914596077866, 2.06284956660469 
1.0329999999999964, -2.528369699233596, 2.0603596994257956 
1.0339999999999963, -2.6055049922013986, 2.0577927748553746 
1.0349999999999961, -2.68278937324086, 2.0551486397303 
1.035999999999996, -2.7602137573157464, 2.052427149410297 
1.036999999999996, -2.8377679130655133, 2.0496281689111773 
1.0379999999999958, -2.9154404386417245, 2.046751574063458 
1.0389999999999957, -2.9932187402288615, 2.043797252693826 
1.0399999999999956, -3.0710890135432467, 2.0407651058266185 
1.0409999999999955, -3.149036228605201, 2.0376550489021916 
1.0419999999999954, -3.227044118077906, 2.0344670130087583 
1.0429999999999953, -3.3050951694614596, 2.0312009461239824 
1.0439999999999952, -3.383170621422083, 2.0278568143623352 
1.044999999999995, -3.461250464524082, 2.024434603223944 
1.045999999999995, -3.5393134466158975, 2.020934318840399 
