Unit:(mV)
                     CH1         CH2
Frequency      13.682 Hz   11.901 Hz
00234            -100.00    -1240.00
00235            -116.00     -560.00
00236            -124.00     -360.00
00237            -120.00     -320.00
00238            -120.00     -320.00
00239            -116.00     -280.00
00240            -116.00     -280.00
00241            -120.00     -320.00
00242            -112.00     -280.00
00243             -84.00     -280.00
00244             -32.00     -440.00
00245             -28.00    -1200.00
00246             -24.00    -1720.00
00247             -28.00    -1760.00
00248             -32.00    -1800.00
00249             -28.00    -1800.00
00250             -32.00    -1800.00
00251             -36.00    -1840.00
00252             -84.00    -1840.00
00253            -124.00    -1880.00
00254            -124.00    -1840.00
00255            -120.00    -1880.00
00256            -124.00    -1560.00
00257            -128.00     -840.00
00258            -128.00     -320.00
00259            -124.00     -280.00
00260            -120.00     -280.00
00261             -80.00     -280.00
00262             -32.00     -240.00
00263             -32.00     -240.00
00264             -28.00     -240.00
00265             -24.00     -200.00
00266             -28.00     -200.00
00267             -24.00     -720.00
00268             -32.00    -1240.00
00269             -64.00    -1560.00
00270            -112.00    -1560.00
00271            -124.00    -1560.00
00272            -116.00    -1600.00
00273            -116.00    -1560.00
00274            -116.00    -1560.00
00275            -116.00    -1560.00
00276            -116.00    -1640.00
00277            -120.00    -1680.00
00278             -88.00    -1560.00
00279             -36.00    -1200.00
00280             -24.00     -600.00
00281             -32.00     -360.00
00282             -28.00     -320.00
00283             -28.00     -320.00
00284             -28.00     -280.00
00285             -24.00     -280.00
00286             -40.00     -280.00
00287             -84.00     -280.00
00288            -120.00     -280.00
00289            -120.00     -240.00
00290            -120.00     -680.00
00291            -124.00    -1240.00
00292            -124.00    -1560.00
00293            -124.00    -1560.00
00294            -120.00    -1600.00
00295            -120.00    -1600.00
00296             -92.00    -1600.00
00297             -40.00    -1600.00
00298             -28.00    -1680.00
00299             -24.00    -1680.00
00300             -28.00    -1680.00
00301             -32.00    -1680.00
00302             -32.00    -1280.00
00303             -32.00     -720.00
00304             -36.00     -320.00
00305             -92.00     -320.00
00306            -124.00     -360.00
00307            -124.00     -280.00
00308            -128.00     -320.00
00309            -120.00     -280.00
00310            -124.00     -240.00
00311            -128.00     -280.00
00312            -128.00     -280.00
00313            -124.00     -560.00
00314             -84.00     -840.00
00315             -32.00     -960.00
00316             -28.00    -1000.00
00317             -28.00     -960.00
00318             -28.00     -960.00
00319             -24.00     -960.00
