Unit:(mV)
                     CH1         CH2
Frequency      14.307 Hz    5.858 Hz
00234             -24.00    -1280.00
00235             -28.00    -1240.00
00236             -28.00    -1200.00
00237             -32.00    -1120.00
00238             -32.00    -1080.00
00239             -32.00    -1040.00
00240             -32.00     -920.00
00241             -32.00     -880.00
00242             -32.00     -760.00
00243             -36.00     -720.00
00244             -44.00     -640.00
00245             -60.00     -600.00
00246             -76.00     -520.00
00247             -88.00     -440.00
00248            -100.00     -400.00
00249            -116.00     -400.00
00250            -124.00     -400.00
00251            -128.00     -400.00
00252            -132.00     -400.00
00253            -132.00     -400.00
00254            -132.00     -360.00
00255            -132.00     -360.00
00256            -128.00     -360.00
00257            -128.00     -360.00
00258            -124.00     -320.00
00259            -128.00     -400.00
00260            -124.00     -360.00
00261            -124.00     -360.00
00262            -124.00     -360.00
00263            -124.00     -400.00
00264            -128.00     -400.00
00265            -128.00     -400.00
00266            -128.00     -400.00
00267            -120.00     -400.00
00268            -120.00     -320.00
00269            -124.00     -320.00
00270            -120.00     -320.00
00271            -120.00     -280.00
00272            -124.00     -360.00
00273            -124.00     -360.00
00274            -124.00     -400.00
00275            -120.00     -400.00
00276            -120.00     -400.00
00277            -112.00     -360.00
00278            -104.00     -360.00
00279             -96.00     -360.00
00280             -84.00     -360.00
00281             -72.00     -320.00
00282             -56.00     -360.00
00283             -40.00     -320.00
00284             -28.00     -280.00
00285             -24.00     -280.00
00286             -24.00     -320.00
00287             -28.00     -360.00
00288             -28.00     -320.00
00289             -28.00     -360.00
00290             -28.00     -360.00
00291             -28.00     -360.00
00292             -28.00     -320.00
00293             -24.00     -320.00
00294             -28.00     -280.00
00295             -24.00     -320.00
00296             -24.00     -320.00
00297             -24.00     -320.00
00298             -24.00     -320.00
00299             -28.00     -360.00
00300             -32.00     -320.00
00301             -28.00     -360.00
00302             -36.00     -360.00
00303             -32.00     -320.00
00304             -28.00     -280.00
00305             -32.00     -320.00
00306             -32.00     -280.00
00307             -32.00     -280.00
00308             -32.00     -280.00
00309             -36.00     -280.00
00310             -44.00     -280.00
00311             -56.00     -280.00
00312             -64.00     -280.00
00313             -68.00     -320.00
00314             -72.00     -320.00
00315             -80.00     -320.00
00316             -84.00     -280.00
00317             -80.00     -280.00
00318             -80.00     -280.00
00319             -80.00     -240.00
00320             -80.00     -280.00
00321             -80.00     -240.00
00322             -80.00     -280.00
00323             -80.00     -280.00
00324             -80.00     -280.00
00325             -84.00     -280.00
00326             -80.00     -320.00
00327             -80.00     -280.00
00328             -80.00     -280.00
00329             -80.00     -280.00
00330             -80.00     -280.00
00331             -76.00     -280.00
00332             -80.00     -280.00
00333             -80.00     -280.00
00334             -80.00     -280.00
00335             -80.00     -240.00
00336             -80.00     -280.00
00337             -76.00     -320.00
00338             -80.00     -360.00
00339             -76.00     -440.00
00340             -72.00     -440.00
00341             -76.00     -480.00
00342             -72.00     -520.00
00343             -68.00     -560.00
00344             -68.00     -600.00
00345             -64.00     -680.00
00346             -52.00     -720.00
00347             -48.00     -800.00
00348             -36.00     -880.00
00349             -36.00     -920.00
00350             -32.00    -1000.00
00351             -32.00    -1080.00
00352             -32.00    -1080.00
00353             -32.00    -1200.00
00354             -28.00    -1240.00
00355             -32.00    -1280.00
00356             -32.00    -1360.00
00357             -28.00    -1400.00
00358             -24.00    -1400.00
00359             -28.00    -1440.00
00360             -32.00    -1520.00
00361             -24.00    -1520.00
00362             -28.00    -1560.00
00363             -28.00    -1640.00
00364             -32.00    -1640.00
00365             -32.00    -1640.00
00366             -28.00    -1600.00
00367             -24.00    -1640.00
00368             -28.00    -1680.00
00369             -28.00    -1640.00
00370             -28.00    -1640.00
00371             -24.00    -1640.00
00372             -24.00    -1640.00
00373             -28.00    -1680.00
00374             -32.00    -1680.00
00375             -32.00    -1680.00
00376             -48.00    -1680.00
00377             -60.00    -1680.00
00378             -72.00    -1680.00
00379             -88.00    -1680.00
00380             -96.00    -1680.00
00381            -108.00    -1680.00
00382            -116.00    -1680.00
00383            -120.00    -1640.00
00384            -120.00    -1680.00
00385            -116.00    -1680.00
00386            -120.00    -1680.00
00387            -120.00    -1680.00
00388            -120.00    -1680.00
00389            -124.00    -1720.00
00390            -124.00    -1720.00
00391            -120.00    -1680.00
00392            -120.00    -1680.00
00393            -124.00    -1680.00
00394            -120.00    -1680.00
00395            -116.00    -1680.00
00396            -116.00    -1680.00
00397            -120.00    -1680.00
00398            -120.00    -1680.00
00399            -120.00    -1680.00
00400            -124.00    -1720.00
00401            -120.00    -1720.00
00402            -124.00    -1680.00
00403            -120.00    -1720.00
00404            -120.00    -1720.00
00405            -120.00    -1720.00
00406            -120.00    -1680.00
00407            -120.00    -1680.00
00408            -120.00    -1680.00
00409            -116.00    -1680.00
00410            -108.00    -1680.00
00411             -96.00    -1680.00
00412             -88.00    -1720.00
00413             -76.00    -1720.00
00414             -64.00    -1720.00
00415             -48.00    -1680.00
00416             -36.00    -1720.00
00417             -32.00    -1680.00
00418             -28.00    -1680.00
00419             -24.00    -1720.00
00420             -32.00    -1680.00
00421             -28.00    -1720.00
00422             -28.00    -1720.00
00423             -32.00    -1680.00
00424             -32.00    -1680.00
00425             -32.00    -1720.00
00426             -28.00    -1760.00
00427             -28.00    -1720.00
00428             -32.00    -1720.00
00429             -32.00    -1680.00
00430             -28.00    -1720.00
00431             -24.00    -1680.00
00432             -32.00    -1680.00
00433             -32.00    -1680.00
00434             -32.00    -1720.00
00435             -28.00    -1720.00
00436             -32.00    -1720.00
00437             -32.00    -1720.00
00438             -32.00    -1680.00
00439             -32.00    -1720.00
00440             -32.00    -1720.00
00441             -32.00    -1720.00
00442             -36.00    -1720.00
00443             -48.00    -1720.00
00444             -64.00    -1680.00
00445             -76.00    -1720.00
00446             -88.00    -1720.00
00447            -100.00    -1720.00
00448            -112.00    -1720.00
00449            -120.00    -1720.00
00450            -128.00    -1720.00
00451            -124.00    -1720.00
00452            -128.00    -1760.00
00453            -128.00    -1720.00
00454            -124.00    -1720.00
00455            -128.00    -1760.00
00456            -128.00    -1720.00
00457            -124.00    -1680.00
00458            -128.00    -1680.00
00459            -128.00    -1640.00
00460            -128.00    -1640.00
00461            -124.00    -1600.00
00462            -124.00    -1560.00
00463            -124.00    -1560.00
00464            -128.00    -1520.00
00465            -128.00    -1440.00
00466            -132.00    -1400.00
00467            -124.00    -1360.00
00468            -128.00    -1280.00
00469            -128.00    -1240.00
00470            -124.00    -1200.00
00471            -124.00    -1120.00
00472            -124.00    -1040.00
00473            -124.00    -1000.00
00474            -132.00     -960.00
00475            -132.00     -920.00
00476            -124.00     -840.00
00477            -116.00     -760.00
00478            -104.00     -720.00
00479             -96.00     -640.00
00480             -84.00     -560.00
00481             -68.00     -480.00
00482             -52.00     -440.00
00483             -36.00     -360.00
00484             -36.00     -360.00
00485             -32.00     -360.00
00486             -32.00     -360.00
00487             -32.00     -400.00
00488             -32.00     -400.00
00489             -32.00     -400.00
00490             -32.00     -400.00
00491             -32.00     -360.00
00492             -28.00     -360.00
00493             -24.00     -360.00
00494             -28.00     -360.00
00495             -32.00     -320.00
00496             -32.00     -320.00
00497             -28.00     -320.00
00498             -28.00     -320.00
00499             -32.00     -360.00
00500             -32.00     -360.00
00501             -32.00     -400.00
00502             -32.00     -400.00
00503             -32.00     -400.00
00504             -32.00     -360.00
00505             -32.00     -360.00
00506             -32.00     -320.00
00507             -28.00     -360.00
00508             -32.00     -360.00
00509             -40.00     -320.00
00510             -52.00     -320.00
00511             -60.00     -360.00
00512             -80.00     -360.00
00513             -92.00     -360.00
00514            -108.00     -400.00
00515            -116.00     -360.00
00516            -124.00     -320.00
00517            -124.00     -320.00
00518            -120.00     -320.00
00519            -116.00     -320.00
00520            -120.00     -320.00
00521            -116.00     -320.00
00522            -120.00     -280.00
00523            -120.00     -320.00
00524            -120.00     -320.00
00525            -120.00     -320.00
00526            -120.00     -360.00
00527            -120.00     -320.00
00528            -120.00     -360.00
00529            -120.00     -280.00
00530            -120.00     -320.00
00531            -116.00     -360.00
00532            -116.00     -280.00
00533            -116.00     -280.00
00534            -116.00     -280.00
00535            -116.00     -280.00
00536            -116.00     -320.00
00537            -116.00     -320.00
00538            -116.00     -280.00
00539            -116.00     -360.00
00540            -116.00     -320.00
00541            -116.00     -320.00
00542            -116.00     -320.00
00543            -112.00     -280.00
00544            -112.00     -280.00
00545            -104.00     -280.00
00546             -92.00     -280.00
00547             -80.00     -280.00
00548             -68.00     -280.00
00549             -60.00     -280.00
00550             -48.00     -280.00
00551             -36.00     -320.00
00552             -32.00     -320.00
00553             -32.00     -280.00
00554             -32.00     -280.00
00555             -32.00     -280.00
00556             -32.00     -280.00
00557             -28.00     -280.00
00558             -24.00     -280.00
00559             -28.00     -240.00
00560             -32.00     -240.00
00561             -28.00     -240.00
00562             -32.00     -280.00
00563             -28.00     -280.00
00564             -32.00     -280.00
00565             -28.00     -280.00
00566             -32.00     -280.00
00567             -28.00     -280.00
00568             -28.00     -240.00
00569             -24.00     -280.00
00570             -28.00     -320.00
00571             -28.00     -320.00
00572             -24.00     -360.00
00573             -28.00     -440.00
00574             -32.00     -440.00
00575             -32.00     -440.00
00576             -32.00     -520.00
00577             -36.00     -560.00
00578             -48.00     -600.00
00579             -56.00     -600.00
00580             -72.00     -600.00
00581             -84.00     -680.00
00582             -96.00     -720.00
00583            -100.00     -720.00
00584            -112.00     -720.00
00585            -120.00     -800.00
00586            -124.00     -840.00
00587            -128.00     -880.00
00588            -124.00     -880.00
00589            -124.00     -920.00
00590            -128.00     -920.00
00591            -128.00     -960.00
00592            -128.00     -960.00
00593            -128.00    -1000.00
00594            -124.00    -1000.00
00595            -120.00    -1040.00
00596            -128.00    -1040.00
00597            -128.00    -1040.00
00598            -128.00    -1040.00
00599            -128.00    -1040.00
00600            -128.00    -1040.00
00601            -132.00    -1040.00
00602            -132.00    -1080.00
00603            -132.00    -1040.00
00604            -132.00    -1080.00
00605            -132.00    -1080.00
00606            -128.00    -1040.00
00607            -124.00    -1040.00
00608            -128.00    -1080.00
00609            -128.00    -1040.00
00610            -128.00    -1040.00
00611            -128.00    -1040.00
00612            -124.00    -1080.00
00613            -112.00    -1080.00
00614            -100.00    -1080.00
00615             -88.00    -1080.00
00616             -72.00    -1040.00
00617             -56.00    -1040.00
00618             -40.00    -1040.00
00619             -32.00    -1040.00
00620             -32.00    -1040.00
00621             -32.00    -1040.00
00622             -28.00    -1040.00
00623             -28.00    -1080.00
00624             -32.00    -1040.00
00625             -32.00    -1080.00
00626             -32.00    -1040.00
00627             -32.00    -1080.00
00628             -32.00    -1040.00
00629             -32.00    -1040.00
00630             -32.00    -1080.00
00631             -32.00    -1040.00
00632             -32.00    -1080.00
00633             -32.00    -1040.00
00634             -32.00    -1040.00
00635             -32.00    -1080.00
00636             -32.00    -1040.00
00637             -32.00    -1080.00
00638             -24.00    -1080.00
00639             -36.00    -1080.00
00640             -36.00    -1080.00
00641             -36.00    -1080.00
00642             -28.00    -1080.00
00643             -36.00    -1040.00
00644             -52.00    -1040.00
00645             -72.00    -1040.00
00646             -84.00    -1080.00
00647            -100.00    -1080.00
00648            -112.00    -1120.00
00649            -124.00    -1080.00
00650            -128.00    -1080.00
00651            -132.00    -1120.00
00652            -132.00    -1120.00
00653            -132.00    -1080.00
00654            -132.00    -1080.00
00655            -128.00    -1080.00
00656            -132.00    -1080.00
00657            -132.00    -1080.00
00658            -132.00    -1080.00
00659            -128.00    -1080.00
00660            -132.00    -1080.00
00661            -128.00    -1080.00
00662            -132.00    -1080.00
00663            -132.00    -1080.00
00664            -132.00    -1080.00
00665            -132.00    -1080.00
00666            -128.00    -1080.00
00667            -128.00    -1080.00
00668            -124.00    -1080.00
00669            -128.00    -1080.00
00670            -124.00    -1080.00
00671            -124.00    -1080.00
00672            -124.00    -1080.00
00673            -124.00    -1080.00
00674            -124.00    -1080.00
00675            -124.00    -1080.00
00676            -116.00    -1080.00
