"Latest: Time (s)","Latest: Magnetic Field (mT)"
1.15,-0.601349097604
1.155,-0.666551808688
1.16,-0.739628054696
1.165,-0.812950348671
1.17,-0.878153059755
1.175,-0.939172955412
1.18,-0.99601003564
1.185,-1.04079076552
1.19,-1.08557149539
1.195,-1.11804982695
1.2,-1.14240857562
1.205,-1.15889378937
1.21,-1.16701337226
1.215,-1.16283055683
1.22,-1.15889378937
1.225,-1.13428899273
1.23,-1.1059934766
1.235,-1.07326909708
1.24,-1.02455159974
1.245,-0.971651286971
1.25,-0.910631391314
1.255,-0.849611495658
1.26,-0.776289201684
1.265,-0.703212955676
1.27,-0.629890661701
1.275,-0.556568367727
1.28,-0.483492121719
1.285,-0.410169827745
1.29,-0.34496711666
1.295,-0.283947221003
1.3,-0.222927325347
1.305,-0.174209828008
1.31,-0.121309515242
1.315,-0.0846483682544
1.32,-0.0479872212672
1.325,-0.0196917051362
1.33,0.00884985896118
1.335,0.0250890247407
1.34,0.0455110059484
1.345,0.0578134042662
1.35,0.0617501717279
1.355,0.0617501717279
1.36,0.0617501717279
1.365,0.0578134042662
1.37,0.0496938213764
1.375,0.0373914230586
1.38,0.016969441851
1.385,0.000730276071408
1.39,-0.0236284725979
1.395,-0.0602896195851
1.4,-0.0927679511442
1.405,-0.133611913559
1.41,-0.17814659547
1.415,-0.231046908237
1.42,-0.292066803893
1.425,-0.349149932088
1.43,-0.418289410634
1.435,-0.487428889181
1.44,-0.556568367727
1.445,-0.625707846273
1.45,-0.694847324819
1.455,-0.764232851332
1.46,-0.833372329878
1.465,-0.898328992997
1.47,-0.959348888653
1.475,-1.00831243396
1.48,-1.05309316384
1.485,-1.09369107828
1.49,-1.11804982695
1.495,-1.13847180816
1.5,-1.15077420648
1.505,-1.15077420648
1.51,-1.13847180816
1.515,-1.12223264238
1.52,-1.09787389371
1.525,-1.06514951419
1.53,-1.02455159974
1.535,-0.967468471543
1.54,-0.910631391314
1.545,-0.85354826312
1.55,-0.780472017112
1.555,-0.715269306027
1.56,-0.642193060019
1.565,-0.572807533506
1.57,-0.499731287498
1.575,-0.430591808952
1.58,-0.365389097868
1.585,-0.304369202211
1.59,-0.243349306555
1.595,-0.198568576678
1.6,-0.153787846801
1.605,-0.109007116924
1.61,-0.0807116007927
1.615,-0.0479872212672
1.62,-0.0236284725979
1.625,-0.0032064913903
1.63,0.016969441851
1.635,0.0250890247407
1.64,0.0373914230586
1.645,0.0373914230586
1.65,0.0373914230586
1.655,0.0332086076305
1.66,0.021152257279
1.665,0.016969441851
1.67,-0.00738930681837
1.675,-0.0317480554877
1.68,-0.0602896195851
1.685,-0.0888311836825
1.69,-0.125246282703
1.695,-0.17002701258
1.7,-0.214807742457
1.705,-0.267708055224
1.71,-0.320608367991
1.715,-0.381628263647
1.72,-0.442648159304
1.725,-0.515970453278
1.73,-0.580927116396
1.735,-0.650312642909
1.74,-0.719452121455
1.745,-0.788591600001
1.75,-0.849611495658
1.755,-0.914568158776
1.76,-0.963531704081
1.765,-1.01224920142
1.77,-1.05309316384
1.775,-1.08557149539
1.78,-1.10181066117
1.785,-1.11804982695
1.79,-1.12616940984
1.795,-1.12223264238
1.8,-1.10993024406
1.805,-1.08557149539
1.81,-1.06514951419
1.815,-1.02455159974
1.82,-0.983953685289
1.825,-0.939172955412
1.83,-0.878153059755
1.835,-0.817133164099
1.84,-0.760050035904
1.845,-0.68672774193
1.85,-0.621771078811
1.855,-0.556568367727
1.86,-0.483492121719
1.865,-0.422472226062
1.87,-0.361452330406
1.875,-0.304369202211
1.88,-0.247532121983
1.885,-0.202751392106
1.89,-0.157970662229
1.895,-0.121309515242
1.9,-0.0846483682544
1.905,-0.0602896195851
1.91,-0.0359308709158
1.915,-0.0155088897081
1.92,0.000730276071408
1.925,0.016969441851
1.93,0.016969441851
1.935,0.021152257279
1.94,0.016969441851
1.945,0.0130326743893
1.95,0.00491309149947
1.955,-0.0113260742801
1.96,-0.0317480554877
1.965,-0.0521700366953
1.97,-0.0807116007927
1.975,-0.117126699814
1.98,-0.149851079339
1.985,-0.194631809216
1.99,-0.239166491127
1.995,-0.292066803893
2,-0.349149932088
2.005,-0.405987012316
2.01,-0.467006907973
2.015,-0.540329201947
2.02,-0.609468680494
2.025,-0.67860815904
2.03,-0.751930453014
2.035,-0.82106993156
2.04,-0.886272642645
2.045,-0.943109722873
2.05,-1.00019285107
2.055,-1.04497358095
2.06,-1.08950826286
2.065,-1.12223264238
2.07,-1.14659139105
2.075,-1.16283055683
2.08,-1.17095013972
2.085,-1.16283055683
2.09,-1.15889378937
2.095,-1.13847180816
2.1,-1.10993024406
2.105,-1.0774519125
2.11,-1.03267118263
2.115,-0.979770869861
2.12,-0.922933789632
2.125,-0.85354826312
2.13,-0.788591600001
2.135,-0.715269306027
2.14,-0.638010244591
2.145,-0.572807533506
2.15,-0.491611704609
2.155,-0.422472226062
2.16,-0.361452330406
2.165,-0.296249619321
2.17,-0.235229723665
2.175,-0.182329410898
2.18,-0.133611913559
2.185,-0.0969507665723
2.19,-0.0602896195851
2.195,-0.0236284725979
2.2,0.000730276071408
2.205,0.021152257279
2.21,0.0373914230586
2.215,0.0536305888381
2.22,0.0578134042662
2.225,0.065932987156
2.23,0.0698697546177
2.235,0.0617501717279
2.24,0.0536305888381
2.245,0.0415742384866
2.25,0.0250890247407
2.255,0.00491309149947
2.26,-0.0236284725979
2.265,-0.0479872212672
2.27,-0.0807116007927
2.275,-0.125246282703
2.28,-0.17002701258
2.285,-0.218990557885
2.29,-0.275827638114
2.295,-0.332910766308
2.3,-0.393930661965
2.305,-0.463070140511
2.31,-0.536392434486
2.315,-0.605531913032
2.32,-0.674671391578
2.325,-0.747747637586
2.33,-0.812950348671
2.335,-0.878153059755
2.34,-0.943109722873
2.345,-0.98789045275
2.35,-1.03685399806
2.355,-1.08138867997
2.36,-1.10993024406
2.365,-1.13428899273
2.37,-1.14659139105
2.375,-1.15077420648
2.38,-1.14659139105
2.385,-1.13428899273
2.39,-1.11411305949
2.395,-1.08138867997
2.4,-1.04497358095
2.405,-0.99601003564
2.41,-0.943109722873
2.415,-0.882089827217
2.42,-0.82106993156
2.425,-0.747747637586
2.43,-0.67860815904
2.435,-0.609468680494
2.44,-0.536392434486
2.445,-0.467006907973
2.45,-0.402050244855
2.455,-0.33684753377
2.46,-0.283947221003
2.465,-0.231046908237
2.47,-0.182329410898
2.475,-0.141731496449
2.48,-0.0969507665723
2.485,-0.0684092024749
2.49,-0.0398676383775
2.495,-0.0155088897081
2.5,0.000730276071408
2.505,0.016969441851
2.51,0.0292718401688
2.515,0.0332086076305
2.52,0.0415742384866
2.525,0.0373914230586
2.53,0.0250890247407
2.535,0.021152257279
2.54,0.00884985896118
2.545,-0.0113260742801
2.55,-0.0398676383775
2.555,-0.0642263870468
2.56,-0.0969507665723
2.565,-0.137548681021
2.57,-0.174209828008
2.575,-0.227110140775
2.58,-0.283947221003
2.585,-0.332910766308
2.59,-0.397867429427
2.595,-0.467006907973
2.6,-0.532209619058
2.605,-0.601349097604
2.61,-0.666551808688
2.615,-0.743810870124
2.62,-0.809013581209
2.625,-0.870033476866
2.63,-0.931053372522
2.635,-0.979770869861
2.64,-1.02455159974
2.645,-1.06514951419
2.65,-1.08950826286
2.655,-1.11411305949
2.66,-1.11804982695
2.665,-1.12223264238
2.67,-1.11804982695
2.675,-1.1059934766
2.68,-1.0774519125
2.685,-1.04497358095
2.69,-1.00412961853
2.695,-0.963531704081
2.7,-0.906448575886
2.705,-0.85354826312
2.71,-0.788591600001
2.715,-0.723388888917
2.72,-0.654249410371
2.725,-0.580927116396
2.73,-0.515970453278
2.735,-0.450767742193
2.74,-0.385811079075
2.745,-0.32872795088
2.75,-0.271890870652
2.755,-0.218990557885
2.76,-0.174209828008
2.765,-0.137548681021
2.77,-0.100887534034
2.775,-0.0723459699366
2.78,-0.0440504538055
2.785,-0.0196917051362
2.79,-0.0032064913903
2.795,0.00884985896118
2.8,0.016969441851
2.805,0.016969441851
2.81,0.021152257279
2.815,0.016969441851
2.82,0.00491309149947
2.825,-0.00738930681837
2.83,-0.0236284725979
2.835,-0.0479872212672
2.84,-0.0723459699366
2.845,-0.105070349462
2.85,-0.141731496449
2.855,-0.182329410898
2.86,-0.227110140775
2.865,-0.275827638114
2.87,-0.332910766308
2.875,-0.385811079075
2.88,-0.454950557621
2.885,-0.515970453278
2.89,-0.589292747252
2.895,-0.66236899326
2.9,-0.727571704345
2.905,-0.800647950353
2.91,-0.870033476866
2.915,-0.934990139984
2.92,-0.98789045275
2.925,-1.03685399806
2.93,-1.0774519125
2.935,-1.11411305949
2.94,-1.14240857562
2.945,-1.15471097394
2.95,-1.16701337226
2.955,-1.16283055683
2.96,-1.15889378937
2.965,-1.13847180816
2.97,-1.10993024406
2.975,-1.0774519125
2.98,-1.03267118263
2.985,-0.975588054433
2.99,-0.918750974204
2.995,-0.85354826312
3,-0.784408784573
3.005,-0.711332538565
3.01,-0.638010244591
3.015,-0.564687950617
3.02,-0.487428889181
3.025,-0.422472226062
3.03,-0.35308669955
3.035,-0.292066803893
3.04,-0.235229723665
3.045,-0.17814659547
3.05,-0.133611913559
3.055,-0.0888311836825
3.06,-0.0521700366953
3.065,-0.0236284725979
3.07,0.00491309149947
3.075,0.021152257279
3.08,0.0415742384866
3.085,0.0536305888381
3.09,0.0617501717279
3.095,0.065932987156
3.1,0.065932987156
3.105,0.0578134042662
3.11,0.0536305888381
3.115,0.0415742384866
3.12,0.0250890247407
3.125,0.000730276071408
3.13,-0.0236284725979
3.135,-0.0521700366953
3.14,-0.0888311836825
3.145,-0.129429098131
3.15,-0.174209828008
3.155,-0.227110140775
3.16,-0.280010453542
3.165,-0.341030349198
3.17,-0.410169827745
3.175,-0.475372538829
3.18,-0.540329201947
3.185,-0.613651495922
3.19,-0.67860815904
3.195,-0.751930453014
3.2,-0.817133164099
3.205,-0.886272642645
3.21,-0.943109722873
3.215,-1.00019285107
3.22,-1.04079076552
3.225,-1.08557149539
3.23,-1.10993024406
3.235,-1.13428899273
3.24,-1.14659139105
3.245,-1.14659139105
3.25,-1.14659139105
3.255,-1.13035222527
3.26,-1.1059934766
3.265,-1.0774519125
3.27,-1.0284883672
3.275,-0.98789045275
3.28,-0.926870557094
3.285,-0.865850661437
3.29,-0.796711182891
3.295,-0.731508471807
3.3,-0.658432225799
3.305,-0.585109931824
3.31,-0.515970453278
3.315,-0.442648159304
3.32,-0.381628263647
3.325,-0.316671600529
3.33,-0.263771287762
3.335,-0.210870974995
3.34,-0.16190742969
3.345,-0.121309515242
3.35,-0.0846483682544
3.355,-0.056106804157
3.36,-0.0317480554877
3.365,-0.00738930681837
3.37,0.0130326743893
3.375,0.0292718401688
3.38,0.0332086076305
3.385,0.0332086076305
3.39,0.0415742384866
3.395,0.0292718401688
