t, ω_1, phi_1 
0, 42.790431213178465, 0.001069774152333615
0.0009999999999999994, 42.792501126851974, 0.04386181532631004
0.0020000000000000018, 42.79437241382546, 0.08665582915748235
0.0029999999999999957, 42.79599510611843, 0.12945159070540876
0.00399999999999999, 42.79732739974508, 0.172248829292706
0.004999999999999984, 42.79833498175453, 0.21504723634007342
0.005999999999999978, 42.79899021557162, 0.25784647244786585
0.0069999999999999715, 42.799271270451094, 0.3006461736279365
0.007999999999999972, 42.799161263359636, 0.34344595666632044
0.009000000000000001, 42.79864746497555, 0.3862454236569878
0.01000000000000003, 42.79772060705248, 0.4290441657909636
0.011000000000000058, 42.79637431670693, 0.4718417665161354
0.012000000000000087, 42.794604694289504, 0.5146378042038435
0.013000000000000116, 42.79241004505986, 0.5574318544715239
0.014000000000000144, 42.789790770351004, 0.6002234923184406
0.015000000000000173, 42.78674942060899, 0.6430122942354605
0.0160000000000002, 42.783290909887015, 0.6857978404507702
0.01700000000000023, 42.77942288829851, 0.728579717471487
0.01800000000000026, 42.775156264827594, 0.7713575210756258
0.019000000000000287, 42.770505867031794, 0.8141308598984714
0.020000000000000316, 42.76549121591289, 0.8568993597399104
0.021000000000000345, 42.76013738312092, 0.8996626686921166
0.022000000000000373, 42.75447588355651, 0.9424204631471625
0.023000000000000402, 42.748545539714414, 0.9851724546888155
0.02400000000000043, 42.742393235848276, 1.0279183977998076
0.02500000000000046, 42.736074462243174, 1.070658098224694
0.026000000000000488, 42.72965353561149, 1.1133914217209133
0.027000000000000517, 42.723203374917, 1.1561183028124642
0.028000000000000545, 42.71680471744119, 1.1988387530414581
0.029000000000000574, 42.71054468214931, 1.241552868107534
0.030000000000000603, 42.70451462959526, 1.2842608332119982
0.03100000000000063, 42.69880733017829, 1.3269629259033031
0.032000000000000556, 42.69351353186121, 1.3696595157717604
0.033000000000000446, 42.68871810590573, 1.4123510604771803
0.034000000000000336, 42.68449603164588, 1.4550380978149353
0.035000000000000225, 42.68090854299245, 1.4977212338210608
0.036000000000000115, 42.67799978505453, 1.5404011272563332
0.037000000000000005, 42.67579430847598, 1.5830784711511487
0.037999999999999895, 42.67429565959066, 1.6257539723889225
0.038999999999999785, 42.67348621413346, 1.6684283305100225
0.039999999999999675, 42.67332826796537, 1.7111022169983396
0.040999999999999565, 42.67376626251604, 1.753776256255578
0.041999999999999454, 42.67472990801252, 1.7964510092847314
0.042999999999999344, 42.67613789149419, 1.839126960824536
0.043999999999999234, 42.677901827768814, 1.8818045103449015
0.044999999999999124, 42.679930128712954, 1.9244839669767502
0.045999999999999014, 42.68213152035586, 1.9671655481502521
0.046999999999998904, 42.68441801387306, 2.00984938148296
0.047999999999998794, 42.686707220804124, 2.052535509308578
0.048999999999998683, 42.688923981521434, 2.0952238951686444
0.04999999999999857, 42.69100134029355, 2.137914431592866
0.05099999999999846, 42.69288094584984, 2.1806069485521276
0.05199999999999835, 42.69451298279155, 2.223301222062219
0.05299999999999824, 42.69585574894854, 2.2659969825279145
0.05399999999999813, 42.696874990794, 2.3086939225314245
0.05499999999999802, 42.69754309763472, 2.3513917038761227
0.05599999999999791, 42.69783823942768, 2.3940899637891975
0.0569999999999978, 42.69774351585962, 2.4367883202629725
0.05799999999999769, 42.69724616794242, 2.4794863765736834
0.05899999999999758, 42.69633688911943, 2.522183725060296
0.05999999999999747, 42.6950092613196, 2.5648799502767377
0.06099999999999736, 42.69325933257722, 2.6075746316516537
0.06199999999999725, 42.69108534644182, 2.6502673458029236
0.06299999999999714, 42.688487628898486, 2.6929576686619896
0.06399999999999703, 42.685468635245, 2.735645177566994
0.06499999999999692, 42.68203315660871, 2.7783294534847447
0.06599999999999681, 42.67818868278484, 2.821010083519754
0.0669999999999967, 42.673945914093856, 2.8636866638632905
0.06799999999999659, 42.6693194092723, 2.906358803325397
0.06899999999999648, 42.664328348401995, 2.9490261275759173
0.06999999999999637, 42.65899737908872, 2.991688284194309
0.07099999999999626, 42.653357500370745, 3.034344948589396
0.07199999999999615, 42.64744692249838, 3.0769958307965863
0.07299999999999604, 42.641311822800674, 3.1196406830890155
0.07399999999999593, 42.63500690025354, 3.1622793082501777
0.07499999999999582, 42.62859561702188, 3.204911568250468
0.07599999999999571, 42.62215000806799, 3.2475373929538085
0.0769999999999956, 42.61574994444343, 3.2901567883628435
0.07799999999999549, 42.60948175657117, 3.332769843805857
0.07899999999999538, 42.60343616394387, 3.37537673739373
0.07999999999999527, 42.5977055178827, 3.4179777390509622
0.08099999999999516, 42.59238044104868, 3.460573210469763
0.08199999999999505, 42.58754603322809, 3.5031636014636116
0.08299999999999494, 42.58327789495892, 3.5457494424092117
0.08399999999999483, 42.57963828344423, 3.58833133275182
0.08499999999999472, 42.57667274384523, 3.630909925881455
0.08599999999999461, 42.57440754265751, 3.673485911026165
0.0869999999999945, 42.572848165482455, 3.7160599931061826
0.08799999999999439, 42.57197903593242, 3.7586328717038375
0.08899999999999428, 42.57176448157514, 3.8012052203950386
0.08999999999999417, 42.57215083841733, 3.8437776676445234
0.09099999999999406, 42.57306946979951, 3.8863507802968673
0.09199999999999395, 42.574440396478494, 3.928925050427053
0.09299999999999384, 42.57617620152507, 3.971500885990117
0.09399999999999373, 42.57818588628124, 4.014078605376063
0.09499999999999362, 42.58037840358185, 4.0566584356753115
0.09599999999999351, 42.582665668224806, 4.099240514222787
0.0969999999999934, 42.58496492737159, 4.141824892830795
0.09799999999999329, 42.587200452123646, 4.184411544044687
0.09899999999999318, 42.58930457671578, 4.2270003687513364
