"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
2.745,4.08980142896
2.75,3.99212038631
2.755,3.63412059526
2.76,3.10118070013
2.765,2.50697486138
2.77,1.94549340216
2.775,1.46963663522
2.78,1.09121486296
2.785,0.798171735034
2.79,0.582633716505
2.795,0.436235176523
2.8,0.350610484231
2.805,0.318132152672
2.81,0.334371318451
2.815,0.403510796998
2.82,0.529733403739
2.825,0.712793090708
2.83,0.969175071652
2.835,1.2986332986
2.84,1.70141381953
2.845,2.17751663443
2.85,2.69003454835
2.855,3.19467892735
2.86,3.61369861406
2.865,3.83341944801
2.87,3.8129974668
2.875,3.52020038684
2.88,3.05221715483
2.885,2.49885527849
2.89,1.95779580047
2.895,1.48169298557
2.9,1.08309528008
2.905,0.773812986365
2.91,0.54178975409
2.915,0.36684965001
2.92,0.257112257015
2.925,0.20814871171
2.93,0.20002912882
2.935,0.248992674125
2.94,0.342490901341
2.945,0.501191839641
2.95,0.725095489026
2.955,1.03413173477
2.96,1.4369122557
2.965,1.91719788602
2.97,2.45825736404
2.975,3.00349965749
2.98,3.47123684153
2.985,3.76821673693
2.99,3.85384142922
2.995,3.69907725838
3,3.33714069987
3.005,2.84873548665
3.01,2.33621757273
3.015,1.85617799037
3.02,1.4369122557
3.025,1.09933444585
3.03,0.830896114559
3.035,0.631351213844
3.04,0.488889441323
3.045,0.395391214108
3.05,0.354793299659
3.055,0.350610484231
3.06,0.395391214108
3.065,0.488889441323
3.07,0.639470796734
3.075,0.851072047801
3.08,1.12787600995
3.085,1.48169298557
3.09,1.90489548771
3.095,2.38099830261
3.1,2.89351621653
3.105,3.38585819721
3.11,3.77658236778
3.115,3.9716984051
3.12,3.95152247186
3.125,3.70326007381
3.13,3.28005757168
3.135,2.75942007486
3.14,2.22623413177
3.145,1.74225778195
3.15,1.32299204727
3.155,0.989351004893
3.16,0.729032256488
3.165,0.54178975409
3.17,0.407693612426
3.175,0.33043455099
3.18,0.301892986892
3.185,0.33043455099
3.19,0.399574029536
3.195,0.529733403739
3.2,0.733215071916
3.205,1.00583621864
3.21,1.35965319426
3.215,1.79515809471
3.22,2.31185882406
3.225,2.86915746786
3.23,3.38585819721
3.235,3.76821673693
3.24,3.93503725812
3.245,3.84965861379
3.25,3.52831996973
3.255,3.05221715483
3.26,2.50303809392
3.265,1.97403496625
3.27,1.50211496678
3.275,1.10745402874
3.28,0.806291317924
3.285,0.578450901077
3.29,0.415813195315
3.295,0.301892986892
3.3,0.236690275808
3.305,0.220451110028
3.31,0.240873091236
3.315,0.301892986892
3.32,0.411630379887
3.325,0.586570483967
3.33,0.818593716242
3.335,1.11975642706
3.34,1.50211496678
3.345,1.9619786159
3.35,2.47449652982
3.355,2.99119725917
3.36,3.4429413254
3.365,3.74385798826
3.37,3.84572184633
3.375,3.71949923959
3.38,3.41021694588
3.385,2.95453611219
3.39,2.45825736404
3.395,1.97009819879
3.4,1.52647371545
3.405,1.15223475862
3.41,0.855254863229
3.415,0.635534029272
3.42,0.484952673862
3.425,0.395391214108
3.43,0.358730067121
3.435,0.379152048328
3.44,0.460593925192
3.445,0.611175280603
3.45,0.834832882021
3.455,1.15617152608
3.46,1.58355684365
3.465,2.12043350624
3.47,2.73481527823
3.475,3.34107746733
3.48,3.81718028223
3.485,4.03690111619
3.49,3.96357882221
3.495,3.60976184659
3.5,3.07263913604
3.505,2.46637694693
3.51,1.89259308939
3.515,1.40443392414
3.52,1.01789256899
3.525,0.733215071916
3.53,0.529733403739
3.535,0.391454446646
3.54,0.313949337244
3.545,0.297710171464
3.55,0.338554133879
3.555,0.436235176523
3.56,0.602809649747
3.565,0.851072047801
3.57,1.18889590561
3.575,1.61997194267
3.58,2.13691871998
3.585,2.69421736378
3.59,3.23134007434
3.595,3.64617694561
3.6,3.8415390309
3.605,3.76009715404
3.61,3.4225193442
3.615,2.9178749652
3.62,2.36475913683
3.625,1.83157319373
3.63,1.36777277715
3.635,0.985414237432
3.64,0.684251526611
3.645,0.468713508082
3.65,0.3223149681
3.655,0.236690275808
3.66,0.216514342566
3.665,0.244809858697
3.67,0.33043455099
3.675,0.480769858434
3.68,0.712793090708
3.685,1.0383145502
3.69,1.4573342369
3.695,1.97821778168
3.7,2.56799475704
3.705,3.16613736325
3.71,3.64617694561
3.715,3.88631976078
3.72,3.83760226344
3.725,3.50789798852
3.73,2.97914090882
3.735,2.39305465296
3.74,1.83575600916
3.745,1.37195559258
3.75,1.00583621864
3.755,0.733215071916
3.76,0.54178975409
