sim_t,totD,sum_acoustic_energy/sim_t
0.000009,0.18116218705508094,-19739.858427571144
0.000019000000000000004,0.16764071065752137,-18511.07199137769
0.00002900000000000001,0.1923568355819988,-18611.46835951981
0.000038999999999999986,0.17710469171580293,-18101.510264748355
0.00004899999999999996,0.18050044708762725,-17538.602767746564
0.00005899999999999993,0.19494686624141044,-17781.882065328053
0.0000689999999999999,0.17525373971918679,-17890.671892123337
0.00007899999999999987,0.18745327116821475,-17570.832446775577
0.00008899999999999985,0.19192087162819038,-17538.686442941103
0.00009899999999999982,0.1746986172710912,-17625.674206225296
0.00010899999999999979,0.1940899844672491,-17666.96834277776
0.00011899999999999976,0.18239644001992295,-17439.585640286063
0.00012899999999999975,0.17894097748429946,-17358.930196381083
0.00013899999999999972,0.1942990059755216,-17548.842133976206
0.0001489999999999997,0.17431862146679455,-17589.237604121605
0.00015899999999999966,0.18154800743133573,-17322.059156352614
0.00016899999999999964,0.19109604889043627,-17308.76670179962
0.0001789999999999996,0.171523439082658,-17411.67823542873
0.00018899999999999958,0.18441869869422958,-17416.415435804378
0.00019899999999999955,0.17785608027306024,-17282.30800944486
0.00020899999999999952,0.17356885125252586,-17205.84003879204
0.0002189999999999995,0.1914575071295979,-17404.632725123945
0.00022899999999999947,0.17350754491843287,-17297.765107072733
0.00023899999999999944,0.1758873607660352,-17273.92921500132
0.00024899999999999955,0.17014998729235375,-17433.150160949597
0.0002589999999999998,0.19022188303133308,-17857.59412982843
0.00026900000000000003,0.16969910306780786,-18318.003932677926
0.0002790000000000003,0.18327359189376483,-18659.588693862603
0.0002890000000000005,0.17828872955632047,-18862.17443308328
0.00029900000000000076,0.17196815569374668,-19009.58158409933
0.000309000000000001,0.1876708447017726,-19378.56266490051
0.00031900000000000125,0.1709648800299113,-19511.23590456971
0.0003290000000000015,0.17821061734094829,-19786.954548864884
0.00033900000000000173,0.18122812798842527,-19981.515601759427
0.000349000000000002,0.16843065420603082,-20097.630757391496
0.0003590000000000022,0.18791021005897354,-20178.604569948628
0.00036900000000000246,0.16734790551732173,-20276.13023590456
0.0003790000000000027,0.18215314483564743,-20439.92355855913
0.00038900000000000295,0.17547448862490322,-20526.82426041483
0.0003990000000000032,0.1709683540130094,-20674.47005736092
0.00040900000000000344,0.18537095637242454,-20827.42988926124
0.0004190000000000037,0.16577193897336762,-20921.357697309868
0.0004290000000000039,0.1851848176849626,-20979.80350015868
0.00043900000000000417,0.17040713894056922,-21054.35293192963
0.0004490000000000044,0.17485609483765896,-21166.127053184468
0.00045900000000000465,0.18100579426807253,-21282.853873295677
0.0004690000000000049,0.16625774976642735,-21463.868006307537
0.00047900000000000514,0.18627760445136213,-21516.662692274727
0.0004890000000000054,0.1667167752150466,-21514.308949300943
0.0004990000000000056,0.17923528901402144,-21526.50346148663
0.0005090000000000059,0.17575551282964505,-21619.711998146606
0.0005190000000000061,0.1685761181366773,-21750.702566498436
0.0005290000000000064,0.1849203762113357,-21872.381851657778
0.0005390000000000066,0.16478208151674675,-21959.123789302324
0.0005490000000000068,0.18302898236398607,-21963.139785878917
0.0005590000000000071,0.17071514846421454,-21930.056457676747
0.0005690000000000073,0.1723645231747245,-21952.05877478122
0.0005790000000000076,0.1813934073248371,-22068.453171282024
0.0005890000000000078,0.16485535944182642,-22205.845025978295
0.0005990000000000081,0.18511711622431112,-22262.817600530427
0.0006090000000000083,0.18236271074904312,-22161.02212756131
0.0006190000000000085,0.1644052353413679,-22170.391387363994
0.0006290000000000088,0.1766047702566057,-22206.33399574727
0.000639000000000009,0.16673289463885652,-22047.198467756
0.0006490000000000093,0.18481969124007588,-21990.35633978812
0.0006590000000000095,0.1643968638599598,-21848.759367611896
0.0006690000000000098,0.18118448941056295,-21670.437409615555
0.00067900000000001,0.17155855316232976,-21503.081883453506
0.0006890000000000102,0.17029537460114502,-21408.154451824157
0.0006990000000000105,0.18209720837974674,-21365.39958059194
0.0007090000000000107,0.1639651238058763,-21292.5264460039
0.000719000000000011,0.18409010102495932,-21181.622718448056
0.0007290000000000112,0.16727378212218014,-21009.374915810673
0.0007390000000000115,0.17483928525739412,-20948.80258634485
