sim_t,1 - Q_c/Q_h,sum_acoustic_energy/Q_h,sum_acoustic_energy/sim_t
0.009999899999994875,0.34259751351113865,0.7277429626637992,0.4513352453286729
0.019999899999935487,0.11294509879156744,0.25720218642900905,0.23434598811287302
0.0299998999998761,0.10914588003799697,0.4580290929172037,0.3159050902839655
0.039999900000120284,0.06332867987498503,0.33037504735921774,0.2650990744739918
0.04999990000040784,0.06459107962147492,0.44415869025469823,0.30704874205773497
0.0599999000006954,0.04365587586510211,0.3584721979329002,0.2746541535464014
0.06999990000098295,0.04555845895537869,0.43822392044283404,0.30324629044951706
0.07999990000127051,0.033104097547155376,0.3735335518851916,0.27942566623435156
0.08999990000155807,0.035001059684117264,0.4349317941816658,0.3011337425753652
0.09999990000184562,0.026524049616971968,0.38292564975054005,0.282288502966089
0.10999990000213318,0.028288760464435736,0.43283868873700454,0.2997893937283809
0.11999990000242074,0.022028461601132476,0.38934247145407275,0.28419705916865295
0.12999990000270828,0.023644535562643676,0.43139047371966976,0.2988586909877821
0.13999990000299584,0.018762279476549182,0.39400448856987613,0.2855603131995233
0.1499999000032834,0.020240200304226352,0.43032889518941064,0.29817617581010597
0.15999990000357095,0.016281857610847772,0.3975449430670635,0.286582753509567
0.1699999000038585,0.0176377009005515,0.42951735423273063,0.29765425253333133
0.17999990000414606,0.014334090505382147,0.4003251075637763,0.2873779847355143
0.18999990000443362,0.01558359531786313,0.42887681967299673,0.2972422078990037
0.19999990000472118,0.012764038046170989,0.40256613735246366,0.2880141696368972
0.20999990000500873,0.013921070453027928,0.42835839226548733,0.2969086479943211
0.2199999000052963,0.011471541062626822,0.4044109956084362,0.288534684503511
0.22999990000558385,0.012547897939325758,0.4279301939982868,0.2966330985330388
0.2399999000058714,0.010388976941720696,0.4059562041323007,0.2889684468562263
0.24999990000615896,0.011394585134921753,0.4275705548855221,0.29640163700314426
0.2599999000064465,0.009469040180182353,0.40726928489850606,0.2893354765135752
0.2699999000067341,0.010412243008845135,0.42726422979383544,0.2962044660830225
0.27999990000702163,0.008677645166058512,0.4083988903399348,0.28965007334409404
0.2899999000073092,0.009565477207696294,0.42700018165337367,0.2960344911612646
0.29999990000759674,0.007989609742311332,0.4093809644555034,0.2899227239165518
0.3099999000078843,0.008828032503809036,0.42677022326055747,0.2958864484945675
0.31999990000817186,0.0073859263342415105,0.4102426378934857,0.2901612931567947
0.3299999000084594,0.008180021910866087,0.42656815322915825,0.29575635039897263
0.33999990000874697,0.006851978772712819,0.411004773186389,0.29037179541930813
