d, omega_{driving}, omega_{driven}/omega_{driving}, Delta phi, t_{run}, Avg, Dev, Switch dir., Avg deriv., Linear fit coef.
10.0,10.0,0.0,0.0,25.0,-1.0801917904942025e-08,1.205339190311322e-07,True,2.4442784880936826e-10,9.442512466208153e-11
10.0,10.0,0.01,0.0,25.0,-9.247441815708794e-05,0.00015713347720261157,True,0.0003212483286596484,2.402117663924456e-05
10.0,10.0,0.02,0.0,25.0,-0.00025311413155705315,0.0005614247322757074,True,0.0007231088669687611,7.700949239114463e-05
10.0,10.0,0.03,0.0,25.0,-0.000384295726670582,0.0010983935577076164,True,0.0011259854283279878,0.0001391092911833429
10.0,10.0,0.04,0.0,25.0,-0.0004066098721809078,0.0017165740527154412,True,0.0015265570227552018,0.00016245658801244232
10.0,10.0,0.05,0.0,25.0,-0.0002398749026971665,0.0023796649413723977,True,0.0019226313322428278,0.00011252242875022017
10.0,10.0,0.06,0.0,25.0,5.6187339556030214e-05,0.003182421602444702,True,0.00232040440779654,5.9763731367922086e-05
10.0,10.0,0.07,0.0,25.0,0.00029269430166069954,0.004542048907622761,True,0.0027151008452911364,9.365317568258156e-06
10.0,10.0,0.08,0.0,25.0,0.00041456807279682036,0.005947244417807568,True,0.0031096774068544867,-3.000901967535989e-05
10.0,10.0,0.09,0.0,25.0,0.0003158390344512318,0.007439776979375604,True,0.003513726556547992,1.2161998775807337e-05
10.0,10.0,0.1,0.0,25.0,0.0001237858239523107,0.009027045787023374,True,0.003918700053248483,8.376295107075263e-05
10.0,10.0,0.11,0.0,25.0,3.701029807689338e-06,0.011008138801636464,True,0.004319712874812546,0.000965589668938411
10.0,10.0,0.12,0.0,25.0,-0.008029344631734847,0.018022477931360314,True,0.004711416170766589,0.0018154167159616574
10.0,10.0,0.13,0.0,25.0,-0.008031738847594989,0.019538248771876966,True,0.005111129842996277,0.0018576422099321733
10.0,10.0,0.14,0.0,25.0,-0.008311488823220541,0.022024446107144793,True,0.005518165700222066,0.0019684197827985793
10.0,10.0,0.15,0.0,25.0,-0.016543851870728595,0.028571174260138762,True,0.005914915343917231,0.003409727352118276
10.0,10.0,0.16,0.0,25.0,-0.016367956094253757,0.03158564961583311,True,0.006307838920697051,0.0034924461297495026
10.0,10.0,0.17,0.0,25.0,-0.01671450011977797,0.033695396303034954,True,0.006717226148493596,0.00364603549504755
10.0,10.0,0.18,0.0,25.0,-0.024799577054551665,0.03985766442724189,True,0.007109330746952073,0.004917293417755396
10.0,10.0,0.19,0.0,25.0,-0.024887653016190392,0.043460238435864156,True,0.007512126664770629,0.005071299738794043
10.0,10.0,0.2,0.0,25.0,-0.033470795838411865,0.04562190889223654,True,0.007916002506621236,0.006168400106486774
10.0,10.0,0.21,0.0,25.0,-0.033137833876217715,0.05227631147849311,True,0.008306126942010113,0.006417117536590925
10.0,10.0,0.22,0.0,25.0,-0.033529559018121324,0.055765111057558006,True,0.008715748870844132,0.006900700582478595
10.0,10.0,0.23,0.0,25.0,-0.04147237960024595,0.06050477825736562,True,0.00910314150589905,0.007704443137404809
